,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,1.5e-05,18.764793,[5 2] ; [ 13 101],[1.04132231 5.95867769] ; [16.95867769 97.04132231],1
1,p7,1,1.8e-05,18.347992,[6 1] ; [19 91],[1.4957265 5.5042735] ; [23.5042735 86.4957265],1
0,p6,1,0.000112,14.917553,[4 3] ; [ 10 103],[0.81666667 6.18333333] ; [13.18333333 99.81666667],1
3,p12,1,0.00066,11.598667,[3 4] ; [  7 106],[0.58333333 6.41666667] ; [  9.41666667 103.58333333],1
