,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,75.021883,[76 56] ; [ 37 211],[39.25263158 92.74736842] ; [ 73.74736842 174.25263158],1
0,p2,1,2.1e-05,18.092852,[104  28] ; [141 107],[85.10526316 46.89473684] ; [159.89473684  88.10526316],1
2,p5,1,0.000165,14.197052,[ 13 115] ; [  4 243],[  5.80266667 122.19733333] ; [ 11.19733333 235.80266667],1
