,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,95.9537,[41 59] ; [242  28],[76.48648649 23.51351351] ; [206.51351351  63.48648649],1
2,n5,1,0.0,28.675464,[56 48] ; [219  51],[76.47058824 27.52941176] ; [198.52941176  71.47058824],1
7,p3,1,0.0,27.19739,[29 75] ; [156 113],[51.58176944 52.41823056] ; [133.41823056 135.58176944],1
8,p4,1,1e-05,19.469182,[41 63] ; [175  96],[59.904 44.096] ; [156.096 114.904],1
1,a5,1,4.4e-05,16.710829,[58 46] ; [209  62],[74.048 29.952] ; [192.952  78.048],1
9,p7,1,0.000149,14.387179,[51 52] ; [187  78],[66.61413043 36.38586957] ; [171.38586957  93.61413043],1
5,s7,1,0.000176,14.070542,[32 68] ; [139 118],[47.89915966 52.10084034] ; [123.10084034 133.89915966],1
3,s2,1,0.000245,13.446338,[34 68] ; [147 122],[49.76280323 52.23719677] ; [131.23719677 137.76280323],1
6,s8,1,0.000361,12.72249,[30 73] ; [134 136],[45.28686327 57.71313673] ; [118.71313673 151.28686327],1
0,a3,1,0.00041,12.486645,[62 42] ; [210  60],[75.63636364 28.36363636] ; [196.36363636  73.63636364],1
10,p8,1,0.000431,12.393415,[36 66] ; [150 119],[51.13746631 50.86253369] ; [134.86253369 134.13746631],1
4,s6,1,0.000812,11.213468,[49 54] ; [175  88],[63.03825137 39.96174863] ; [160.96174863 102.03825137],1
