,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
5,p9,1,0.0,41.031487,[17 49] ; [49 10],[34.848 31.152] ; [31.152 27.848],1
1,s5,1,4.8e-05,16.532765,[10 56] ; [28 29],[20.3902439 45.6097561] ; [17.6097561 39.3902439],1
3,s8,1,0.000154,14.318182,[12 54] ; [30 30],[22. 44.] ; [20. 40.],1
0,s2,1,0.000156,14.3018,[20 47] ; [38 22],[30.5984252 36.4015748] ; [27.4015748 32.5984252],1
4,p2,1,0.000195,13.873958,[31 37] ; [46 13],[41.22834646 26.77165354] ; [35.77165354 23.22834646],1
2,s7,1,0.000582,11.834236,[18 41] ; [35 21],[27.19130435 31.80869565] ; [25.80869565 30.19130435],1
