,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p5,1,8.8e-05,15.377774,[3 6] ; [ 1 63],[0.49315068 8.50684932] ; [ 3.50684932 60.49315068],1
1,s8,1,0.000225,13.611564,[8 1] ; [17 47],[3.08219178 5.91780822] ; [21.91780822 42.08219178],1
0,s2,1,0.000496,12.131967,[8 1] ; [18 44],[3.29577465 5.70422535] ; [22.70422535 39.29577465],1
3,p12,1,0.000871,11.084009,[3 6] ; [ 2 61],[0.625 8.375] ; [ 4.375 58.625],1
