,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,58.109867,[ 69 153] ; [95 35],[103.43181818 118.56818182] ; [60.56818182 69.43181818],1
0,b1,1,0.000647,11.635648,[ 66 157] ; [62 68],[ 80.8611898 142.1388102] ; [47.1388102 82.8611898],1
