,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,291.200976,[30 82] ; [399  13],[91.69465649 20.30534351] ; [337.30534351  74.69465649],1
18,p2,1,0.0,94.096441,[55 60] ; [366  46],[91.86907021 23.13092979] ; [329.13092979  82.86907021],1
11,n6,1,0.0,83.697193,[61 52] ; [371  38],[93.51724138 19.48275862] ; [338.48275862  70.51724138],1
7,r3,1,0.0,79.915408,[82 32] ; [402  10],[104.8973384   9.1026616] ; [379.1026616  32.8973384],1
8,r4,1,0.0,74.316123,[69 46] ; [381  32],[98.01136364 16.98863636] ; [351.98863636  61.01136364],1
4,v4,1,0.0,69.045822,[84 29] ; [399  10],[104.55747126   8.44252874] ; [378.44252874  30.55747126],1
22,p8,1,0.0,42.395414,[26 87] ; [234 172],[56.6088632 56.3911368] ; [203.3911368 202.6088632],1
21,p7,1,0.0,34.003447,[41 73] ; [266 135],[67.95728155 46.04271845] ; [239.04271845 161.95728155],1
17,s8,1,0.0,31.788345,[18 95] ; [185 225],[43.86042065 69.13957935] ; [159.13957935 250.86042065],1
15,s6,1,0.0,29.111161,[49 64] ; [288 119],[73.23269231 39.76730769] ; [263.76730769 143.23269231],1
19,p4,1,0.0,26.464752,[41 73] ; [258 152],[65.04961832 48.95038168] ; [233.95038168 176.04961832],1
3,v2,1,0.0,26.289946,[38 74] ; [243 154],[61.83104126 50.16895874] ; [219.16895874 177.83104126],1
6,r2,1,0.0,26.140387,[91 21] ; [391  18],[103.61612284   8.38387716] ; [378.38387716  30.61612284],1
5,r1,1,1e-06,24.287818,[66 47] ; [332  79],[85.82824427 27.17175573] ; [312.17175573  98.82824427],1
10,n5,1,1e-06,23.412064,[62 51] ; [318  91],[82.2605364 30.7394636] ; [297.7394636 111.2605364],1
2,v1,1,2e-06,22.495483,[37 77] ; [231 170],[59.32427184 54.67572816] ; [208.67572816 192.32427184],1
9,n4,1,1.6e-05,18.592957,[66 47] ; [324  89],[83.78326996 29.21673004] ; [306.21673004 106.78326996],1
16,s7,1,3.1e-05,17.351628,[29 76] ; [201 198],[47.91666667 57.08333333] ; [182.08333333 216.91666667],1
13,s2,1,3.1e-05,17.334953,[34 80] ; [212 197],[53.62141491 60.37858509] ; [192.37858509 216.62141491],1
14,s5,1,3.3e-05,17.226925,[17 94] ; [144 256],[34.97260274 76.02739726] ; [126.02739726 273.97260274],1
20,p6,1,3.8e-05,16.970947,[17 94] ; [146 262],[34.86127168 76.13872832] ; [128.13872832 279.86127168],1
12,s1,1,0.000259,13.346293,[ 11 103] ; [  9 398],[  4.37619962 109.62380038] ; [ 15.62380038 391.37619962],1
1,d5,1,0.000758,11.34091,[78 36] ; [341  71],[90.80988593 23.19011407] ; [328.19011407  83.80988593],1
0,d1,1,0.000855,11.117136,[49 66] ; [248 165],[64.6875 50.3125] ; [232.3125 180.6875],1
24,p12,1,0.000873,11.078686,[  1 114] ; [ 44 368],[  9.81973435 105.18026565] ; [ 35.18026565 376.81973435],1
