,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,29.621122,[ 25 113] ; [45 40],[43.31838565 94.68161435] ; [26.68161435 58.31838565],1
3,p8,1,1.4e-05,18.899648,[ 26 111] ; [39 45],[40.29411765 96.70588235] ; [24.70588235 59.29411765],1
2,p6,1,0.000169,14.143831,[ 20 115] ; [31 53],[ 31.43835616 103.56164384] ; [19.56164384 64.43835616],1
0,p2,1,0.000302,13.057172,[69 70] ; [63 22],[81.91071429 57.08928571] ; [50.08928571 34.91071429],1
