,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
15,p9,1,0.0,207.656395,[41 59] ; [399  13],[85.9375 14.0625] ; [354.0625  57.9375],1
6,n5,1,1e-06,23.985313,[56 48] ; [318  91],[75.82066277 28.17933723] ; [298.17933723 110.82066277],1
7,n6,1,1e-06,23.460804,[75 28] ; [371  38],[89.72265625 13.27734375] ; [356.27734375  52.72265625],1
9,s6,1,9e-06,19.718979,[49 54] ; [288 119],[68.06078431 34.93921569] ; [268.93921569 138.06078431],1
13,p4,1,1.4e-05,18.834109,[41 63] ; [258 152],[60.49805447 43.50194553] ; [238.50194553 171.49805447],1
12,p3,1,3e-05,17.437544,[29 75] ; [209 203],[47.96899225 56.03100775] ; [190.03100775 221.96899225],1
11,p2,1,4.2e-05,16.785335,[76 28] ; [366  46],[89.08527132 14.91472868] ; [352.91472868  59.08527132],1
14,p8,1,5.3e-05,16.340601,[36 66] ; [234 172],[54.21259843 47.78740157] ; [215.78740157 190.21259843],1
4,v4,1,0.000186,13.966174,[93 11] ; [399  10],[99.74269006  4.25730994] ; [392.25730994  16.74269006],1
0,a5,1,0.000204,13.795046,[58 46] ; [307 106],[73.42359768 30.57640232] ; [291.57640232 121.42359768],1
2,d5,1,0.000467,12.244151,[70 34] ; [341  71],[82.8372093 21.1627907] ; [328.1627907  83.8372093],1
5,r4,1,0.000502,12.108685,[84 20] ; [381  32],[93.53965184 10.46034816] ; [371.46034816  41.53965184],1
1,a7,1,0.000759,11.339339,[61 42] ; [313 100],[74.65503876 28.34496124] ; [299.34496124 113.65503876],1
8,s2,1,0.000821,11.192471,[34 68] ; [212 197],[49.1037182 52.8962818] ; [196.8962818 212.1037182],1
3,v1,1,0.000879,11.067074,[40 62] ; [231 170],[54.95427435 47.04572565] ; [216.04572565 184.95427435],1
10,s7,1,0.000989,10.847634,[32 68] ; [201 198],[46.69338677 53.30661323] ; [186.30661323 212.69338677],1
