,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,157.398837,[497  84] ; [32 75],[446.72819767 134.27180233] ; [82.27180233 24.72819767],1
14,p11,1,0.0,84.449046,[478 116] ; [43 68],[438.97021277 155.02978723] ; [82.02978723 28.97021277],1
11,p2,1,0.0,45.948896,[485 104] ; [59 52],[457.73714286 131.26285714] ; [86.26285714 24.73714286],1
10,n6,1,0.0,41.822719,[497  88] ; [65 46],[472.37068966 112.62931034] ; [89.62931034 21.37068966],1
7,r3,1,0.0,41.180809,[558  31] ; [85 26],[541.03857143  47.96142857] ; [101.96142857   9.03857143],1
8,r4,1,0.0,38.168134,[523  71] ; [72 39],[501.31914894  92.68085106] ; [93.68085106 17.31914894],1
4,v4,1,1e-06,24.383609,[553  35] ; [88 22],[539.98280802  48.01719198] ; [101.01719198   8.98280802],1
6,r2,1,1e-06,24.240853,[551  32] ; [89 21],[538.41269841  44.58730159] ; [101.58730159   8.41269841],1
1,a7,1,6e-06,20.619829,[440 151] ; [59 52],[420.0982906 170.9017094] ; [78.9017094 32.0982906],1
12,p8,1,8e-06,19.915024,[295 286] ; [30 79],[273.65942029 307.34057971] ; [51.34057971 57.65942029],1
0,a6,1,8.8e-05,15.382131,[410 182] ; [55 55],[392.13675214 199.86324786] ; [72.86324786 37.13675214],1
3,v2,1,0.000236,13.522634,[326 244] ; [41 67],[308.53982301 261.46017699] ; [58.46017699 49.53982301],1
5,r1,1,0.000324,12.92461,[461 129] ; [69 42],[446.07703281 143.92296719] ; [83.92296719 27.07703281],1
2,d3,1,0.000358,12.739678,[415 177] ; [58 52],[398.88319088 193.11680912] ; [74.11680912 35.88319088],1
9,n5,1,0.000608,11.752227,[417 167] ; [61 50],[401.65755396 182.34244604] ; [76.34244604 34.65755396],1
