,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
15,p9,1,0.0,207.656395,[399  13] ; [41 59],[354.0625  57.9375] ; [85.9375 14.0625],1
6,n5,1,1e-06,23.985313,[318  91] ; [56 48],[298.17933723 110.82066277] ; [75.82066277 28.17933723],1
7,n6,1,1e-06,23.460804,[371  38] ; [75 28],[356.27734375  52.72265625] ; [89.72265625 13.27734375],1
9,s6,1,9e-06,19.718979,[288 119] ; [49 54],[268.93921569 138.06078431] ; [68.06078431 34.93921569],1
13,p4,1,1.4e-05,18.834109,[258 152] ; [41 63],[238.50194553 171.49805447] ; [60.49805447 43.50194553],1
12,p3,1,3e-05,17.437544,[209 203] ; [29 75],[190.03100775 221.96899225] ; [47.96899225 56.03100775],1
11,p2,1,4.2e-05,16.785335,[366  46] ; [76 28],[352.91472868  59.08527132] ; [89.08527132 14.91472868],1
14,p8,1,5.3e-05,16.340601,[234 172] ; [36 66],[215.78740157 190.21259843] ; [54.21259843 47.78740157],1
4,v4,1,0.000186,13.966174,[399  10] ; [93 11],[392.25730994  16.74269006] ; [99.74269006  4.25730994],1
0,a5,1,0.000204,13.795046,[307 106] ; [58 46],[291.57640232 121.42359768] ; [73.42359768 30.57640232],1
2,d5,1,0.000467,12.244151,[341  71] ; [70 34],[328.1627907  83.8372093] ; [82.8372093 21.1627907],1
5,r4,1,0.000502,12.108685,[381  32] ; [84 20],[371.46034816  41.53965184] ; [93.53965184 10.46034816],1
1,a7,1,0.000759,11.339339,[313 100] ; [61 42],[299.34496124 113.65503876] ; [74.65503876 28.34496124],1
8,s2,1,0.000821,11.192471,[212 197] ; [34 68],[196.8962818 212.1037182] ; [49.1037182 52.8962818],1
3,v1,1,0.000879,11.067074,[231 170] ; [40 62],[216.04572565 184.95427435] ; [54.95427435 47.04572565],1
10,s7,1,0.000989,10.847634,[201 198] ; [32 68],[186.30661323 212.69338677] ; [46.69338677 53.30661323],1
