,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,9e-06,19.764463,[46 63] ; [46 13],[59.69047619 49.30952381] ; [32.30952381 26.69047619],1
1,p3,1,6.2e-05,16.054104,[21 87] ; [29 30],[32.33532934 75.66467066] ; [17.66467066 41.33532934],1
