,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
22,p9,1,0.0,152.478998,[30 82] ; [242  28],[79.7486911 32.2513089] ; [192.2513089  77.7486911],1
16,p2,1,0.0,52.010591,[55 60] ; [224  44],[83.77284595 31.22715405] ; [195.22715405  72.77284595],1
20,p7,1,0.0,39.816088,[41 73] ; [187  78],[68.58047493 45.41952507] ; [159.41952507 105.58047493],1
15,s8,1,0.0,37.796901,[18 95] ; [134 136],[44.845953 68.154047] ; [107.154047 162.845953],1
21,p8,1,0.0,34.357577,[26 87] ; [150 119],[52.06282723 60.93717277] ; [123.93717277 145.06282723],1
7,r4,1,0.0,33.204088,[69 46] ; [234  37],[90.27202073 24.72797927] ; [212.72797927  58.27202073],1
10,n6,1,0.0,29.584418,[61 52] ; [218  51],[82.53141361 30.46858639] ; [196.46858639  72.53141361],1
9,n5,1,0.0,28.079523,[62 51] ; [219  51],[82.90600522 30.09399478] ; [198.09399478  71.90600522],1
6,r3,1,0.0,27.573655,[82 32] ; [248  21],[98.22454308 15.77545692] ; [231.77545692  37.22454308],1
18,p4,1,0.0,26.671805,[41 73] ; [175  96],[63.95844156 50.04155844] ; [152.04155844 118.95844156],1
4,v4,1,1e-06,25.058585,[84 29] ; [250  19],[98.80104712 14.19895288] ; [235.19895288  33.80104712],1
19,p6,1,1e-06,23.544208,[17 94] ; [110 157],[37.29365079 73.70634921] ; [ 89.70634921 177.29365079],1
14,s7,1,5e-06,20.994949,[29 76] ; [139 118],[48.72928177 56.27071823] ; [119.27071823 137.72928177],1
11,s2,1,9e-06,19.792892,[34 80] ; [147 122],[53.87467363 60.12532637] ; [127.12532637 141.87467363],1
8,n4,1,1.7e-05,18.543675,[66 47] ; [216  55],[82.984375 30.015625] ; [199.015625  71.984375],1
17,p3,1,2.1e-05,18.120143,[39 75] ; [156 113],[58.04177546 55.95822454] ; [136.95822454 132.04177546],1
13,s6,1,2.7e-05,17.629838,[49 64] ; [175  88],[67.31914894 45.68085106] ; [156.68085106 106.31914894],1
5,r1,1,2.7e-05,17.617677,[66 47] ; [214  56],[82.61096606 30.38903394] ; [197.38903394  72.61096606],1
12,s5,1,4.2e-05,16.791763,[17 94] ; [ 96 166],[33.62734584 77.37265416] ; [ 79.37265416 182.62734584],1
2,v1,1,8e-05,15.567549,[37 77] ; [144 120],[54.58730159 59.41269841] ; [126.41269841 137.58730159],1
0,a3,1,0.00018,14.028665,[66 46] ; [210  60],[80.92146597 31.07853403] ; [195.07853403  74.92146597],1
1,a5,1,0.000329,12.896594,[68 47] ; [209  62],[82.52590674 32.47409326] ; [194.47409326  76.52590674],1
3,v2,1,0.000993,10.839723,[38 74] ; [136 123],[52.52830189 59.47169811] ; [121.47169811 137.52830189],1
