,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p11,1,1.4e-05,18.892224,[86 14] ; [23 21],[75.69444444 24.30555556] ; [33.30555556 10.69444444],1
0,p4,1,0.000667,11.579328,[88 12] ; [28 16],[80.55555556 19.44444444] ; [35.44444444  8.55555556],1
