,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,69.20479,[217  45] ; [44 67],[183.32975871  78.67024129] ; [77.67024129 33.32975871],1
7,p3,1,0.0,35.310307,[153 110] ; [28 85],[126.6037234 136.3962766] ; [54.3962766 58.6037234],1
11,p7,1,0.0,32.407445,[185  74] ; [45 67],[160.56603774  98.43396226] ; [69.43396226 42.56603774],1
12,p8,1,1e-06,25.204998,[155 105] ; [35 77],[132.79569892 127.20430108] ; [57.20430108 54.79569892],1
8,p4,1,1e-06,24.663191,[169  95] ; [41 72],[147.05570292 116.94429708] ; [62.94429708 50.05570292],1
2,n5,1,1e-06,23.4166,[212  54] ; [62 50],[192.81481481  73.18518519] ; [81.18518519 30.81481481],1
5,s8,1,2e-06,22.354181,[126 137] ; [25 89],[105.33952255 157.66047745] ; [45.66047745 68.33952255],1
1,n4,1,8e-06,19.969353,[217  49] ; [67 45],[199.85185185  66.14814815] ; [84.14814815 27.85185185],1
10,p6,1,6.5e-05,15.964519,[110 149] ; [23 88],[ 93.1 165.9] ; [39.9 71.1],1
0,a5,1,0.000291,13.130382,[205  61] ; [67 47],[190.4  75.6] ; [81.6 32.4],1
6,p2,1,0.000416,12.457623,[214  48] ; [74 40],[200.68085106  61.31914894] ; [87.31914894 26.68085106],1
4,s6,1,0.000488,12.159722,[162  94] ; [50 64],[146.68108108 109.31891892] ; [65.31891892 48.68108108],1
3,s2,1,0.000511,12.074759,[133 129] ; [35 77],[117.68983957 144.31016043] ; [50.31016043 61.68983957],1
9,p5,1,0.000891,11.041474,[ 41 222] ; [  4 110],[ 31.39257294 231.60742706] ; [ 13.60742706 100.39257294],1
