,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p10,1,0.0,123.149893,[122 118] ; [632 107],[184.84167518  55.15832482] ; [569.15832482 169.84167518],1
16,p9,1,0.0,96.11625,[140  98] ; [648  91],[191.95905834  46.04094166] ; [596.04094166 142.95905834],1
5,r3,1,0.0,69.996713,[196  50] ; [717  28],[226.63773966  19.36226034] ; [686.36226034  58.63773966],1
11,p2,1,0.0,63.008974,[152  95] ; [632 110],[195.80182002  51.19817998] ; [588.19817998 153.80182002],1
9,n6,1,0.0,51.164585,[160  85] ; [640 104],[198.17997978  46.82002022] ; [601.82002022 142.17997978],1
15,p8,1,0.0,48.25869,[ 74 170] ; [411 323],[121.00204499 122.99795501] ; [363.99795501 370.00204499],1
6,r4,1,0.0,45.646794,[179  70] ; [672  79],[211.899  37.101] ; [639.101 111.899],1
3,v4,1,0.0,33.688741,[207  40] ; [707  36],[228.03838384  18.96161616] ; [685.96161616  57.03838384],1
14,p7,1,0.0,33.662356,[109 133] ; [479 246],[147.15201655  94.84798345] ; [440.84798345 284.15201655],1
7,n4,1,0.0,26.404685,[153  93] ; [589 160],[183.44924623  62.55075377] ; [558.55075377 190.44924623],1
8,n5,1,1e-06,24.277638,[149  97] ; [570 173],[178.84125379  67.15874621] ; [540.15874621 202.84125379],1
0,b1,1,1e-06,24.155729,[132 117] ; [266 485],[ 99.102 149.898] ; [298.898 452.102],1
13,p4,1,1e-06,24.056395,[105 140] ; [451 291],[138.0141844 106.9858156] ; [417.9858156 324.0141844],1
2,v2,1,9.1e-05,15.312581,[103 136] ; [414 304],[129.11494253 109.88505747] ; [387.88505747 330.11494253],1
12,p3,1,9.9e-05,15.165186,[ 89 157] ; [376 369],[115.42885974 130.57114026] ; [349.57114026 395.42885974],1
1,v1,1,0.000277,13.221361,[102 145] ; [397 329],[126.67317575 120.32682425] ; [372.32682425 353.67317575],1
10,s8,1,0.000622,11.708714,[ 79 168] ; [330 414],[101.94046418 145.05953582] ; [307.05953582 436.94046418],1
18,p12,1,0.000714,11.452516,[  6 240] ; [ 66 674],[ 17.96348884 228.03651116] ; [ 54.03651116 685.96348884],1
4,r1,1,0.000918,10.98533,[170  76] ; [593 154],[189.02114804  56.97885196] ; [573.97885196 173.02114804],1
