,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,27.225624,[73 60] ; [268  72],[95.88372093 37.11627907] ; [245.11627907  94.88372093],1
0,p3,1,2e-06,23.019292,[59 74] ; [232 108],[81.82452431 51.17547569] ; [209.17547569 130.82452431],1
3,p6,1,3.5e-05,17.140108,[44 87] ; [185 152],[64.10042735 66.89957265] ; [164.89957265 172.10042735],1
2,p5,1,0.000314,12.984694,[  8 123] ; [ 67 274],[ 20.81567797 110.18432203] ; [ 54.18432203 286.81567797],1
