,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,4e-06,21.391369,[60 23] ; [ 4 18],[50.59047619 32.40952381] ; [13.40952381  8.59047619],1
1,p7,1,0.000166,14.178582,[72 11] ; [11 11],[65.60952381 17.39047619] ; [17.39047619  4.60952381],1
