,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,1e-06,25.011453,[189 149] ; [18 57],[169.40920097 168.59079903] ; [37.59079903 37.40920097],1
0,p3,1,1e-06,23.208859,[240 100] ; [31 44],[222.02409639 117.97590361] ; [48.97590361 26.02409639],1
3,p11,1,2.2e-05,17.984706,[313  28] ; [56 19],[302.47355769  38.52644231] ; [66.52644231  8.47355769],1
1,p4,1,2.9e-05,17.485651,[269  71] ; [42 33],[254.79518072  85.20481928] ; [56.20481928 18.79518072],1
