,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,73.654686,[271 104] ; [32 83],[231.8877551 143.1122449] ; [71.1122449 43.8877551],1
8,p2,1,0.0,29.628303,[284  95] ; [57 61],[260.03822938 118.96177062] ; [80.96177062 37.03822938],1
11,p7,1,0.0,26.745186,[237 139] ; [42 75],[212.78701826 163.21298174] ; [66.21298174 50.78701826],1
7,s8,1,1e-06,23.318833,[159 221] ; [20 96],[137.13709677 242.86290323] ; [41.86290323 74.13709677],1
12,p8,1,2.5e-05,17.748358,[177 199] ; [29 87],[157.43089431 218.56910569] ; [48.56910569 67.43089431],1
2,r4,1,2.7e-05,17.617896,[308  77] ; [72 46],[290.85487078  94.14512922] ; [89.14512922 28.85487078],1
0,v4,1,7.3e-05,15.736334,[342  40] ; [87 29],[329.07228916  52.92771084] ; [99.92771084 16.07228916],1
1,r3,1,9.6e-05,15.218068,[335  47] ; [85 32],[321.52304609  60.47695391] ; [98.47695391 18.52304609],1
5,n6,1,0.000124,14.726505,[283 100] ; [64 52],[266.33466934 116.66533066] ; [80.66533066 35.33466934],1
10,p6,1,0.000134,14.5865,[137 237] ; [20 94],[120.32377049 253.67622951] ; [36.67622951 77.32377049],1
9,p4,1,0.000247,13.435315,[217 164] ; [44 73],[199.68072289 181.31927711] ; [61.31927711 55.68072289],1
4,n5,1,0.000365,12.705373,[282 102] ; [65 51],[266.496 117.504] ; [80.504 35.496],1
6,s5,1,0.000387,12.595947,[118 251] ; [17 97],[103.13664596 265.86335404] ; [31.86335404 82.13664596],1
3,n4,1,0.000904,11.015117,[290  95] ; [69 47],[275.87824351 109.12175649] ; [83.12175649 32.87824351],1
