,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,71.743056,[250  28] ; [66 60],[217.44554455  60.55445545] ; [98.55445545 27.44554455],1
12,p8,1,0.0,36.928071,[156 121] ; [31 98],[127.58374384 149.41625616] ; [59.41625616 69.58374384],1
8,p2,1,0.0,26.275758,[230  46] ; [78 52],[209.37931034  66.62068966] ; [98.62068966 31.37931034],1
11,p7,1,1e-06,23.976291,[192  81] ; [58 71],[169.7761194 103.2238806] ; [80.2238806 48.7761194],1
2,r3,1,1e-06,23.864371,[255  21] ; [98 33],[239.38083538  36.61916462] ; [113.61916462  17.38083538],1
3,r4,1,3e-06,21.803548,[241  38] ; [88 44],[223.33576642  55.66423358] ; [105.66423358  26.33576642],1
5,n5,1,2.9e-05,17.510269,[227  51] ; [82 49],[210.02933985  67.97066015] ; [98.97066015 32.02933985],1
6,n6,1,4.9e-05,16.470849,[226  51] ; [82 48],[209.62162162  67.37837838] ; [98.37837838 31.62162162],1
10,p4,1,8e-05,15.547076,[182  97] ; [58 72],[163.71638142 115.28361858] ; [76.28361858 53.71638142],1
1,v4,1,0.000454,12.296888,[257  19] ; [107  24],[246.84029484  29.15970516] ; [117.15970516  13.84029484],1
9,p3,1,0.000657,11.606806,[163 114] ; [53 77],[147.00737101 129.99262899] ; [68.99262899 61.00737101],1
0,a5,1,0.000687,11.524395,[216  63] ; [81 51],[201.61313869  77.38686131] ; [95.38686131 36.61313869],1
4,n4,1,0.000691,11.513825,[223  56] ; [85 47],[209.08029197  69.91970803] ; [98.91970803 33.08029197],1
7,s8,1,0.000847,11.135322,[141 137] ; [43 87],[125.37254902 152.62745098] ; [58.62745098 71.37254902],1
