,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,215.693769,[451  17] ; [15 34],[421.83365571  46.16634429] ; [44.16634429  4.83365571],1
5,n6,1,0.0,43.334131,[414  51] ; [26 22],[398.83040936  66.16959064] ; [41.16959064  6.83040936],1
8,p2,1,0.0,38.561602,[405  63] ; [26 24],[389.3976834  78.6023166] ; [41.6023166  8.3976834],1
0,v4,1,0.0,36.197333,[451  14] ; [38 11],[442.38326848  22.61673152] ; [46.61673152  2.38326848],1
2,r4,1,0.0,35.421317,[430  39] ; [32 18],[417.49132948  51.50867052] ; [44.50867052  5.49132948],1
1,r3,1,0.0,34.297889,[452  15] ; [38 11],[443.46899225  23.53100775] ; [46.53100775  2.46899225],1
6,s6,1,2.4e-05,17.839722,[321 140] ; [20 30],[307.63405088 153.36594912] ; [33.36594912 16.63405088],1
3,n4,1,4.5e-05,16.661164,[361 108] ; [24 24],[349.25531915 119.74468085] ; [35.74468085 12.25531915],1
7,s8,1,0.00012,14.80022,[206 260] ; [ 8 42],[193.26356589 272.73643411] ; [20.73643411 29.26356589],1
4,n5,1,0.000127,14.680236,[352 113] ; [24 24],[340.81871345 124.18128655] ; [35.18128655 12.81871345],1
9,p7,1,0.000154,14.323635,[293 162] ; [18 31],[280.76388889 174.23611111] ; [30.23611111 18.76388889],1
