,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,7e-06,20.332996,[ 98 202] ; [33 17],[112.28571429 187.71428571] ; [18.71428571 31.28571429],1
0,p3,1,0.000362,12.719865,[ 71 228] ; [24 26],[ 81.38968481 217.61031519] ; [13.61031519 36.38968481],1
