Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.052261,3.767399,[2 1] ; [ 2 12],[0.70588235 2.29411765] ; [ 3.29411765 10.70588235],0
p3,1,0.432246,0.61678,[1 2] ; [ 2 12],[0.52941176 2.47058824] ; [ 2.47058824 11.52941176],0
p2,1,0.93758,0.006133,[2 1] ; [9 5],[1.94117647 1.05882353] ; [9.05882353 4.94117647],0
