Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,49.32609,[46 44] ; [ 14 129],[23.17596567 66.82403433] ; [ 36.82403433 106.17596567],1
p6,1,0.004279,8.161523,[21 68] ; [ 14 129],[13.42672414 75.57327586] ; [ 21.57327586 121.42672414],0
p8,1,0.01384,6.058487,[31 58] ; [ 29 114],[23.01724138 65.98275862] ; [ 36.98275862 106.01724138],0
p5,1,0.015746,5.831017,[ 8 81] ; [  3 141],[ 4.20171674 84.79828326] ; [  6.79828326 137.20171674],0
p10,1,0.022627,5.196889,[70 18] ; [93 49],[62.36521739 25.63478261] ; [100.63478261  41.36521739],0
p2,1,0.032689,4.562019,[70 20] ; [93 51],[62.69230769 27.30769231] ; [100.30769231  43.69230769],0
p9,1,0.058629,3.575738,[74 13] ; [105  36],[68.30263158 18.69736842] ; [110.69736842  30.30263158],0
p11,1,0.075068,3.168567,[72 18] ; [100  44],[66.15384615 23.84615385] ; [105.84615385  38.15384615],0
p12,1,0.078305,3.09973,[10 80] ; [  7 135],[ 6.59482759 83.40517241] ; [ 10.40517241 131.59482759],0
p1,1,0.100659,2.695065,[ 4 86] ; [ 15 128],[ 7.33905579 82.66094421] ; [ 11.66094421 131.33905579],0
