Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,93.56162,[122 118] ; [508 103],[177.6733255  62.3266745] ; [452.3266745 158.6733255],1
p9,1,0.0,80.475027,[140  98] ; [531  81],[187.88  50.12] ; [483.12 128.88],1
r3,1,0.0,58.830468,[196  50] ; [593  25],[224.64583333  21.35416667] ; [564.35416667  53.64583333],1
r4,1,0.0,54.828315,[179  70] ; [567  54],[213.51034483  35.48965517] ; [532.48965517  88.51034483],1
p2,1,0.0,47.313806,[152  95] ; [514 103],[190.39583333  56.60416667] ; [475.60416667 141.39583333],1
n6,1,0.0,44.556898,[160  85] ; [527  89],[195.48780488  49.51219512] ; [491.51219512 124.48780488],1
s8,1,0.0,36.963361,[ 79 168] ; [339 279],[119.35953757 127.64046243] ; [298.64046243 319.35953757],1
p8,1,0.0,36.110306,[ 74 170] ; [323 286],[113.56154748 130.43845252] ; [283.43845252 325.56154748],1
v4,1,0.0,35.978844,[207  40] ; [592  26],[228.15375723  18.84624277] ; [570.84624277  47.15375723],1
p4,1,0.0,32.240808,[105 140] ; [395 222],[142.11136891 102.88863109] ; [357.88863109 259.11136891],1
s3,1,0.0,31.846537,[121 125] ; [425 185],[156.91121495  89.08878505] ; [389.08878505 220.91121495],1
p7,1,0.0,30.3054,[109 133] ; [393 206],[144.45184304  97.54815696] ; [357.54815696 241.45184304],1
s2,1,0.0,29.82859,[112 136] ; [403 214],[147.65317919 100.34682081] ; [367.34682081 249.65317919],1
s7,1,1e-06,24.645114,[ 93 134] ; [359 237],[124.67071689 102.32928311] ; [327.32928311 268.67071689],1
n5,1,1e-06,24.202397,[149  97] ; [476 141],[178.1575898  67.8424102] ; [446.8424102 170.1575898],1
n4,1,3e-06,21.637751,[153  93] ; [481 138],[180.30520231  65.69479769] ; [453.69479769 165.30520231],1
p3,1,1.9e-05,18.252626,[ 89 157] ; [323 295],[117.30555556 128.69444444] ; [294.69444444 323.30555556],1
r1,1,2.4e-05,17.860877,[170  76] ; [508 110],[193.04166667  52.95833333] ; [484.95833333 133.04166667],1
v1,1,5.3e-05,16.340352,[102 145] ; [341 262],[128.73058824 118.26941176] ; [314.26941176 288.73058824],1
b1,1,7.5e-05,15.685228,[132 117] ; [238 383],[105.89655172 143.10344828] ; [264.10344828 356.89655172],1
s5,1,0.000137,14.541326,[ 68 167] ; [260 341],[ 92.20095694 142.79904306] ; [235.79904306 365.20095694],1
p12,1,0.00018,14.030671,[  6 240] ; [ 62 555],[ 19.38354577 226.61645423] ; [ 48.61645423 568.38354577],1
v2,1,0.000215,13.690939,[103 136] ; [340 254],[127.1032413 111.8967587] ; [315.8967587 278.1032413],1
a5,1,0.000484,12.176505,[156  93] ; [462 158],[177.07940161  71.92059839] ; [440.92059839 179.07940161],1
p6,1,0.000582,11.831412,[ 66 176] ; [243 367],[ 87.76760563 154.23239437] ; [221.23239437 388.76760563],1
r2,1,0.000914,10.993878,[215  29] ; [580  33],[226.34772462  17.65227538] ; [568.65227538  44.34772462],1
d4,1,0.003036,8.785901,[185  62] ; [516 101],[200.40162037  46.59837963] ; [500.59837963 116.40162037],0
p5,1,0.003868,8.344538,[ 16 229] ; [ 83 532],[ 28.20348837 216.79651163] ; [ 70.79651163 544.20348837],0
u2,1,0.004862,7.92997,[38 50] ; [107  67],[48.70229008 39.29770992] ; [96.29770992 77.70229008],0
d1,1,0.010185,6.60229,[125 124] ; [371 250],[141.95862069 107.04137931] ; [354.04137931 266.95862069],0
d5,1,0.010797,6.498347,[185  62] ; [510 108],[198.4566474  48.5433526] ; [496.5433526 121.4566474],0
a6,1,0.013725,6.073192,[144 104] ; [413 204],[159.69479769  88.30520231] ; [397.30520231 219.69479769],0
u3,1,0.018537,5.544666,[43 46] ; [111  64],[51.91666667 37.08333333] ; [102.08333333  72.91666667],0
v3,1,0.02007,5.405791,[ 75 162] ; [241 357],[ 89.69101796 147.30898204] ; [226.30898204 371.69101796],0
n2,1,0.035362,4.427614,[64 36] ; [110  34],[71.31147541 28.68852459] ; [102.68852459  41.31147541],0
a3,1,0.038257,4.293545,[158  87] ; [443 175],[170.61993048  74.38006952] ; [430.38006952 187.61993048],0
s1,1,0.048743,3.884188,[ 18 227] ; [ 25 586],[ 12.30724299 232.69275701] ; [ 30.69275701 580.30724299],0
d3,1,0.052171,3.770263,[156  90] ; [434 184],[167.98611111  78.01388889] ; [422.01388889 195.98611111],0
a7,1,0.11853,2.436633,[166  81] ; [449 170],[175.40993072  71.59006928] ; [439.59006928 179.40993072],0
u1,1,0.118635,2.435248,[ 38 211] ; [123 498],[ 46.07931034 202.92068966] ; [114.92068966 506.07931034],0
b4,1,0.152887,2.043209,[136 113] ; [372 249],[145.39310345 103.60689655] ; [362.60689655 258.39310345],0
a8,1,0.170304,1.880267,[ 24 201] ; [ 81 484],[ 29.90506329 195.09493671] ; [ 75.09493671 489.90506329],0
n3,1,0.208842,1.579437,[61 36] ; [101  42],[65.475 31.525] ; [96.525 46.475],0
