Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,123.149893,[632 107] ; [122 118],[569.15832482 169.84167518] ; [184.84167518  55.15832482],1
p9,1,0.0,96.11625,[648  91] ; [140  98],[596.04094166 142.95905834] ; [191.95905834  46.04094166],1
r3,1,0.0,69.996713,[717  28] ; [196  50],[686.36226034  58.63773966] ; [226.63773966  19.36226034],1
p2,1,0.0,63.008974,[632 110] ; [152  95],[588.19817998 153.80182002] ; [195.80182002  51.19817998],1
n6,1,0.0,51.164585,[640 104] ; [160  85],[601.82002022 142.17997978] ; [198.17997978  46.82002022],1
p8,1,0.0,48.25869,[411 323] ; [ 74 170],[363.99795501 370.00204499] ; [121.00204499 122.99795501],1
r4,1,0.0,45.646794,[672  79] ; [179  70],[639.101 111.899] ; [211.899  37.101],1
v4,1,0.0,33.688741,[707  36] ; [207  40],[685.96161616  57.03838384] ; [228.03838384  18.96161616],1
p7,1,0.0,33.662356,[479 246] ; [109 133],[440.84798345 284.15201655] ; [147.15201655  94.84798345],1
n4,1,0.0,26.404685,[589 160] ; [153  93],[558.55075377 190.44924623] ; [183.44924623  62.55075377],1
n5,1,1e-06,24.277638,[570 173] ; [149  97],[540.15874621 202.84125379] ; [178.84125379  67.15874621],1
b1,1,1e-06,24.155729,[266 485] ; [132 117],[298.898 452.102] ; [ 99.102 149.898],1
p4,1,1e-06,24.056395,[451 291] ; [105 140],[417.9858156 324.0141844] ; [138.0141844 106.9858156],1
v2,1,9.1e-05,15.312581,[414 304] ; [103 136],[387.88505747 330.11494253] ; [129.11494253 109.88505747],1
p3,1,9.9e-05,15.165186,[376 369] ; [ 89 157],[349.57114026 395.42885974] ; [115.42885974 130.57114026],1
v1,1,0.000277,13.221361,[397 329] ; [102 145],[372.32682425 353.67317575] ; [126.67317575 120.32682425],1
s8,1,0.000622,11.708714,[330 414] ; [ 79 168],[307.05953582 436.94046418] ; [101.94046418 145.05953582],1
p12,1,0.000714,11.452516,[ 66 674] ; [  6 240],[ 54.03651116 685.96348884] ; [ 17.96348884 228.03651116],1
r1,1,0.000918,10.98533,[593 154] ; [170  76],[573.97885196 173.02114804] ; [189.02114804  56.97885196],1
a5,1,0.001336,10.29244,[550 200] ; [156  93],[530.03003003 219.96996997] ; [175.96996997  73.03003003],0
s1,1,0.001762,9.782201,[ 21 717] ; [ 18 227],[ 29.27975585 708.72024415] ; [  9.72024415 235.27975585],0
a6,1,0.003195,8.69258,[511 237] ; [144 104],[491.90763052 256.09236948] ; [163.09236948  84.90763052],0
p6,1,0.00619,7.494245,[271 463] ; [ 66 176],[253.44057377 480.55942623] ; [ 83.55942623 158.44057377],0
r2,1,0.006469,7.414922,[692  48] ; [215  29],[682.09349593  57.90650407] ; [224.90650407  19.09349593],0
p5,1,0.009186,6.786211,[ 93 648] ; [ 16 229],[ 81.9158215 659.0841785] ; [ 27.0841785 217.9158215],0
s6,1,0.009817,6.667872,[483 249] ; [138 105],[466.22769231 265.77230769] ; [154.77230769  88.22769231],0
u2,1,0.010984,6.467876,[129  89] ; [38 50],[118.97385621  99.02614379] ; [48.02614379 39.97385621],0
d4,1,0.021332,5.299437,[610 137] ; [185  62],[597.44969819 149.55030181] ; [197.55030181  49.44969819],0
v3,1,0.025521,4.988161,[287 435] ; [ 75 162],[272.53806048 449.46193952] ; [ 89.46193952 147.53806048],0
d1,1,0.036608,4.36854,[434 317] ; [125 124],[419.809 331.191] ; [139.191 109.809],0
n2,1,0.039376,4.244567,[117  37] ; [64 36],[109.74015748  44.25984252] ; [71.25984252 28.74015748],0
a3,1,0.059168,3.560548,[531 218] ; [158  87],[519.17605634 229.82394366] ; [169.82394366  75.17605634],0
s7,1,0.05956,3.549586,[346 373] ; [ 93 134],[333.65856237 385.34143763] ; [105.34143763 121.65856237],0
n3,1,0.061438,3.498133,[114  40] ; [61 36],[107.37051793  46.62948207] ; [67.62948207 29.37051793],0
s4,1,0.078342,3.098958,[116 622] ; [ 51 197],[124.9959432 613.0040568] ; [ 42.0040568 205.9959432],0
s3,1,0.080768,3.049371,[407 325] ; [121 125],[395.19018405 336.80981595] ; [132.80981595 113.19018405],0
u3,1,0.10479,2.63108,[128  91] ; [43 46],[121.58766234  97.41233766] ; [49.41233766 39.58766234],0
d5,1,0.110658,2.544804,[597 152] ; [185  62],[588.07028112 160.92971888] ; [193.92971888  53.07028112],0
a1,1,0.182015,1.781098,[ 35 716] ; [ 17 232],[ 39.052 711.948] ; [ 12.948 236.052],0
b4,1,0.198843,1.650854,[445 306] ; [136 113],[436.331 314.669] ; [144.669 104.331],0
a8,1,0.213869,1.545039,[ 95 589] ; [ 24 201],[ 89.54455446 594.45544554] ; [ 29.45544554 195.54455446],0
s5,1,0.215157,1.536384,[240 481] ; [ 68 167],[232.28870293 488.71129707] ; [ 75.71129707 159.28870293],0
d3,1,0.217226,1.522602,[507 242] ; [156  90],[499.08241206 249.91758794] ; [163.91758794  82.08241206],0
b3,1,0.232169,1.427522,[183 292] ; [43 88],[177.14521452 297.85478548] ; [48.85478548 82.14521452],0
b2,1,0.232169,1.427522,[183 292] ; [43 88],[177.14521452 297.85478548] ; [48.85478548 82.14521452],0
s2,1,0.241114,1.374071,[366 374] ; [112 136],[358.01619433 381.98380567] ; [119.98380567 128.01619433],0
a7,1,0.278109,1.176309,[530 218] ; [166  81],[523.2241206 224.7758794] ; [172.7758794  74.2241206],0
b5,1,0.289759,1.120742,[442 309] ; [156  93],[449.098 301.902] ; [148.902 100.098],0
n1,1,0.502642,0.449353,[56 97] ; [40 58],[58.51792829 94.48207171] ; [37.48207171 60.51792829],0
d2,1,0.511804,0.430377,[351 396] ; [122 125],[355.4637827 391.5362173] ; [117.5362173 129.4637827],0
u1,1,0.512305,0.429356,[128 623] ; [ 38 211],[124.666 626.334] ; [ 41.334 207.666],0
u4,1,0.607022,0.264535,[ 16 734] ; [  4 245],[ 15.01501502 734.98498498] ; [  4.98498498 244.01501502],0
a4,1,0.740127,0.110015,[327 421] ; [105 142],[324.75979899 423.24020101] ; [107.24020101 139.75979899],0
p1,1,0.952873,0.003493,[ 65 678] ; [ 22 226],[ 65.22805247 677.77194753] ; [ 21.77194753 226.22805247],0
a2,1,0.995922,2.6e-05,[166 585] ; [ 55 194],[165.971 585.029] ; [ 55.029 193.971],0
