Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,49.551718,[ 65 286] ; [112 136],[103.71786311 247.28213689] ; [ 73.28213689 174.71786311],1
s3,1,0.0,32.710912,[ 92 257] ; [121 125],[124.93613445 224.06386555] ; [ 88.06386555 157.93613445],1
s5,1,0.0,25.555796,[ 42 303] ; [ 68 167],[ 65.43103448 279.56896552] ; [ 44.56896552 190.43103448],1
s7,1,2e-06,23.051362,[ 73 258] ; [ 93 134],[ 98.46953405 232.53046595] ; [ 67.53046595 159.46953405],1
s4,1,1.1e-05,19.373168,[ 29 325] ; [ 51 197],[ 47.04318937 306.95681063] ; [ 32.95681063 215.04318937],1
s8,1,8.2e-05,15.513044,[ 64 290] ; [ 79 168],[ 84.2296173 269.7703827] ; [ 58.7703827 188.2296173],1
p10,1,0.000275,13.232116,[229 119] ; [122 118],[207.73469388 140.26530612] ; [143.26530612  96.73469388],1
b1,1,0.00431,8.148526,[146 208] ; [132 117],[163.2039801 190.7960199] ; [114.7960199 134.2039801],0
p8,1,0.004912,7.911737,[145 203] ; [ 74 170],[128.73648649 219.26351351] ; [ 90.26351351 153.73648649],0
p9,1,0.008655,6.892638,[240 106] ; [140  98],[225.1369863 120.8630137] ; [154.8630137  83.1369863],0
p2,1,0.008936,6.835523,[251  99] ; [152  95],[236.26465662 113.73534338] ; [166.73534338  80.26465662],0
s1,1,0.074892,3.172402,[ 14 336] ; [ 18 227],[ 18.82352941 331.17647059] ; [ 13.17647059 231.82352941],0
r3,1,0.078288,3.100099,[299  52] ; [196  50],[291.03015075  59.96984925] ; [203.96984925  42.03015075],0
n6,1,0.091567,2.8466,[252  99] ; [160  85],[242.63758389 108.36241611] ; [169.36241611  75.63758389],0
a2,1,0.094106,2.80269,[ 59 295] ; [ 55 194],[ 66.92537313 287.07462687] ; [ 47.07462687 201.92537313],0
b5,1,0.098989,2.721754,[198 156] ; [156  93],[207.82089552 146.17910448] ; [146.17910448 102.82089552],0
u1,1,0.09915,2.71917,[ 38 316] ; [ 38 211],[ 44.61691542 309.38308458] ; [ 31.38308458 217.61691542],0
a6,1,0.11496,2.484673,[228 126] ; [144 104],[218.75083056 135.24916944] ; [153.24916944  94.75083056],0
p7,1,0.11804,2.443132,[179 168] ; [109 133],[169.67062818 177.32937182] ; [118.32937182 123.67062818],0
