Feature,DoF,P Value,Chi Square,Is Significant
a8,1,0.054292,3.703704,0
p7,1,0.197703,1.659259,0
a1,1,0.291841,1.111111,0
s2,1,0.291841,1.111111,0
b4,1,0.398025,0.714286,0
p12,1,0.474549,0.511364,0
p4,1,0.474549,0.511364,0
a4,1,0.633553,0.227273,0
a6,1,0.633553,0.227273,0
p8,1,0.666955,0.185185,0
u1,1,0.666955,0.185185,0
n4,1,0.756495,0.096154,0
s8,1,0.756495,0.096154,0
s3,1,0.756495,0.096154,0
r1,1,0.756495,0.096154,0
d5,1,0.756495,0.096154,0
d2,1,0.756495,0.096154,0
b3,1,0.792147,0.069444,0
s7,1,0.792147,0.069444,0
b2,1,0.792147,0.069444,0
p5,1,0.803017,0.062222,0
p6,1,0.832662,0.044643,0
a2,1,0.832662,0.044643,0
s5,1,0.852876,0.034392,0
p3,1,1.0,0.0,0
a7,1,1.0,0.0,0
b5,1,1.0,0.0,0
