Feature,DoF,P Value,Chi Square,Is Significant
p6,1,0.084473,2.976662,0
b4,1,0.14972,2.075098,0
s8,1,0.189424,1.722093,0
d2,1,0.228421,1.450668,0
p1,1,0.266397,1.235208,0
p9,1,0.302988,1.060997,0
a8,1,0.328722,0.953927,0
d3,1,0.380188,0.770094,0
a6,1,0.386017,0.75145,0
p8,1,0.401422,0.704063,0
v1,1,0.411447,0.674616,0
p2,1,0.474464,0.511561,0
d1,1,0.490997,0.474341,0
p7,1,0.589281,0.291468,0
b5,1,0.658841,0.194934,0
b2,1,0.662745,0.190206,0
b3,1,0.662745,0.190206,0
u1,1,0.66764,0.184375,0
s5,1,0.699519,0.148973,0
a4,1,0.70247,0.145916,0
v2,1,0.709751,0.138526,0
d4,1,0.728418,0.120569,0
a3,1,0.789783,0.071071,0
a2,1,0.820772,0.051326,0
p3,1,0.881418,0.022252,0
a7,1,0.983008,0.000454,0
