Feature,DoF,P Value,Chi Square,Is Significant
p4,1,0.320742,0.98592,0
p2,1,0.320742,0.98592,0
b2,1,0.390447,0.737548,0
b3,1,0.390447,0.737548,0
s3,1,0.390447,0.737548,0
s8,1,0.390447,0.737548,0
p3,1,0.403755,0.697115,0
v3,1,0.422489,0.643382,0
p8,1,0.473701,0.51333,0
s2,1,0.524967,0.404125,0
s7,1,0.524967,0.404125,0
p6,1,0.588439,0.292788,0
p7,1,0.611179,0.258462,0
p5,1,0.65591,0.198529,0
a5,1,0.672452,0.178748,0
s6,1,0.672452,0.178748,0
s5,1,0.67844,0.171887,0
b5,1,0.684498,0.165106,0
v1,1,0.70386,0.144487,0
a8,1,0.707787,0.140498,0
p12,1,0.729571,0.119505,0
u1,1,0.773675,0.082697,0
a2,1,0.773675,0.082697,0
a1,1,0.774826,0.081835,0
d3,1,0.811414,0.056931,0
n4,1,0.822729,0.050192,0
r1,1,0.822729,0.050192,0
d5,1,0.822729,0.050192,0
d2,1,0.822729,0.050192,0
v2,1,0.859234,0.031453,0
d1,1,0.878842,0.023237,0
p1,1,0.878842,0.023237,0
s1,1,0.878842,0.023237,0
b4,1,0.897001,0.016758,0
b1,1,0.897001,0.016758,0
a6,1,0.904201,0.014486,0
a4,1,0.904201,0.014486,0
s4,1,0.916299,0.011045,0
a7,1,0.977797,0.000775,0
