Feature,DoF,P Value,Chi Square,Is Significant
v3,1,0.065087,3.402778,0
b3,1,0.09769,2.742857,0
p2,1,0.09769,2.742857,0
b2,1,0.09769,2.742857,0
p7,1,0.136844,2.213095,0
a2,1,0.198211,1.65551,0
a6,1,0.276278,1.185306,0
b4,1,0.276278,1.185306,0
s2,1,0.407626,0.685714,0
p3,1,0.558185,0.342857,0
p6,1,0.558185,0.342857,0
a7,1,0.678845,0.171429,0
b5,1,0.678845,0.171429,0
a4,1,0.678845,0.171429,0
p4,1,0.678845,0.171429,0
s8,1,0.678845,0.171429,0
s3,1,0.735317,0.114286,0
s7,1,0.735317,0.114286,0
v2,1,0.886508,0.02037,0
u1,1,0.921159,0.009796,0
p8,1,0.921159,0.009796,0
