Feature,DoF,P Value,Chi Square,Is Significant
p6,1,0.030677,4.670956,0
p8,1,0.050022,3.840705,0
s8,1,0.062932,3.458376,0
v1,1,0.167492,1.905246,0
a8,1,0.200408,1.639396,0
b4,1,0.230334,1.438798,0
p1,1,0.252701,1.30831,0
d2,1,0.301715,1.066601,0
d1,1,0.317291,1.000082,0
b1,1,0.374389,0.789045,0
b3,1,0.4575,0.552003,0
b2,1,0.4575,0.552003,0
p9,1,0.507349,0.43953,0
p3,1,0.561918,0.336394,0
d3,1,0.574395,0.315385,0
p2,1,0.576889,0.311291,0
u1,1,0.585038,0.298161,0
b5,1,0.597989,0.27804,0
a3,1,0.657847,0.196149,0
a7,1,0.73782,0.112052,0
a6,1,0.741756,0.108589,0
a4,1,0.759987,0.093329,0
v2,1,0.778569,0.079065,0
p7,1,0.8407,0.0404,0
s5,1,0.861001,0.03066,0
a2,1,0.887463,0.020026,0
d4,1,0.996244,2.2e-05,0
