Feature,DoF,P Value,Chi Square,Is Significant
p5,1,0.002824,8.917598,1
a8,1,0.003344,8.609727,1
b2,1,0.006143,7.50775,1
b3,1,0.006143,7.50775,1
s8,1,0.0102,6.599618,0
p8,1,0.013067,6.16,0
p4,1,0.054185,3.706997,0
s7,1,0.064738,3.411654,0
d1,1,0.065521,3.391819,0
p7,1,0.067741,3.336932,0
a1,1,0.076416,3.139535,0
a2,1,0.081854,3.0277,0
s3,1,0.087558,2.918716,0
p12,1,0.088949,2.893285,0
d2,1,0.132338,2.264866,0
u1,1,0.140404,2.173524,0
p6,1,0.187025,1.740896,0
p3,1,0.197586,1.66013,0
a4,1,0.269898,1.217267,0
s2,1,0.305219,1.051253,0
n4,1,0.322762,0.977722,0
r1,1,0.375652,0.784884,0
a6,1,0.446693,0.57903,0
d5,1,0.609163,0.261396,0
b4,1,0.625938,0.237609,0
a7,1,0.778358,0.079219,0
b5,1,0.818319,0.052765,0
s5,1,0.966898,0.001722,0
