Feature,DoF,P Value,Chi Square,Is Significant
u1,1,0.009026,6.817672,1
v1,1,0.214696,1.539474,0
v2,1,0.240023,1.380456,0
a4,1,0.367575,0.811846,0
s8,1,0.421437,0.646304,0
s6,1,0.42219,0.644212,0
n1,1,0.447942,0.575855,0
a2,1,0.632428,0.228782,0
n2,1,0.64015,0.218545,0
n6,1,0.663344,0.189487,0
n3,1,0.668581,0.183266,0
b4,1,0.682887,0.166894,0
n5,1,0.685037,0.164511,0
a6,1,0.716656,0.13172,0
b1,1,0.726212,0.122618,0
d3,1,0.738771,0.11121,0
s3,1,0.742005,0.108372,0
v4,1,0.764613,0.089657,0
a3,1,0.787883,0.072393,0
a5,1,0.793073,0.068813,0
v3,1,0.811118,0.057113,0
s7,1,0.827521,0.047473,0
a7,1,0.829824,0.046194,0
s2,1,0.895764,0.017165,0
b2,1,1.0,0.0,0
b3,1,1.0,0.0,0
