Feature,DoF,P Value,Chi Square,Is Significant
b1,1,0.112498,2.518776,0
p9,1,0.117938,2.444493,0
p6,1,0.124189,2.363683,0
b4,1,0.177076,1.821994,0
s8,1,0.249269,1.327397,0
d2,1,0.264688,1.244072,0
p1,1,0.271703,1.208127,0
a8,1,0.295151,1.095975,0
d3,1,0.407262,0.686781,0
v1,1,0.425334,0.635529,0
p8,1,0.431567,0.618602,0
a6,1,0.437298,0.603361,0
p7,1,0.481018,0.496554,0
d1,1,0.517617,0.418638,0
p2,1,0.554484,0.349345,0
b3,1,0.59953,0.275705,0
b2,1,0.59953,0.275705,0
s5,1,0.642361,0.215668,0
u1,1,0.678711,0.17158,0
d4,1,0.699262,0.149241,0
b5,1,0.717702,0.130705,0
v2,1,0.763345,0.090655,0
a4,1,0.804538,0.061245,0
a3,1,0.887712,0.019937,0
a2,1,0.907621,0.013465,0
a7,1,0.929623,0.0078,0
p3,1,0.950343,0.003878,0
