Feature,DoF,P Value,Chi Square,Is Significant
b2,1,0.000721,11.435118,1
b3,1,0.000721,11.435118,1
p12,1,0.000874,11.077247,1
s8,1,0.000957,10.909202,1
p3,1,0.001838,9.704833,1
p5,1,0.004354,8.129793,1
s3,1,0.005044,7.863512,1
v3,1,0.005349,7.757645,1
s7,1,0.005672,7.651822,1
p4,1,0.005972,7.558638,1
v1,1,0.008474,6.930437,1
a2,1,0.012035,6.305649,0
d2,1,0.017047,5.691532,0
s2,1,0.028711,4.78488,0
a4,1,0.037286,4.337314,0
d1,1,0.048176,3.903832,0
s6,1,0.051733,3.784379,0
p8,1,0.056955,3.623892,0
a5,1,0.059439,3.552979,0
a8,1,0.078239,3.101104,0
s4,1,0.107726,2.587268,0
u1,1,0.17934,1.803089,0
v2,1,0.180084,1.796933,0
p6,1,0.216428,1.527896,0
n4,1,0.224391,1.476065,0
p7,1,0.294964,1.096826,0
p2,1,0.364344,0.822864,0
a7,1,0.442812,0.588984,0
d3,1,0.56472,0.331597,0
a6,1,0.585799,0.296953,0
r1,1,0.647264,0.209367,0
b5,1,0.666179,0.186104,0
p1,1,0.677173,0.173326,0
b4,1,0.863384,0.029607,0
s1,1,0.870477,0.026586,0
s5,1,0.935384,0.006573,0
d5,1,0.946927,0.004431,0
