Feature,DoF,P Value,Chi Square,Is Significant
v4,1,0.011638,6.365263,0
u1,1,0.0207,5.351909,0
n1,1,0.140447,2.173056,0
n6,1,0.213745,1.545876,0
a4,1,0.350155,0.872896,0
s3,1,0.474614,0.511214,0
a2,1,0.560958,0.338048,0
s2,1,0.597433,0.278886,0
s7,1,0.624399,0.239732,0
v1,1,0.657813,0.196191,0
n2,1,0.671426,0.179938,0
n5,1,0.750488,0.101121,0
a7,1,0.753829,0.098341,0
s8,1,0.762147,0.091605,0
v2,1,0.784508,0.074774,0
n3,1,0.789153,0.071508,0
b4,1,0.820893,0.051255,0
v3,1,0.823519,0.049738,0
b3,1,0.863584,0.02952,0
b2,1,0.863584,0.02952,0
a5,1,0.873452,0.025369,0
a6,1,0.901366,0.01536,0
d3,1,0.907813,0.013409,0
a3,1,0.950362,0.003875,0
s6,1,0.991675,0.000109,0
