Feature,DoF,P Value,Chi Square,Is Significant
b3,1,0.052261,3.767399,0
b2,1,0.052261,3.767399,0
d3,1,0.153514,2.036982,0
a2,1,0.200441,1.639156,0
v2,1,0.261651,1.26,0
a4,1,0.301409,1.067949,0
a6,1,0.301409,1.067949,0
p3,1,0.301409,1.067949,0
b4,1,0.312132,1.021635,0
p1,1,0.347465,0.882692,0
d1,1,0.347465,0.882692,0
s8,1,0.347465,0.882692,0
p6,1,0.452209,0.56511,0
b1,1,0.452209,0.56511,0
v1,1,0.468717,0.525,0
p7,1,0.481556,0.495338,0
u1,1,0.622252,0.242716,0
d2,1,0.659118,0.194597,0
p2,1,0.659118,0.194597,0
s5,1,0.679708,0.170455,0
b5,1,0.681777,0.168132,0
a7,1,0.824745,0.049038,0
p8,1,0.824745,0.049038,0
a8,1,0.912637,0.012037,0
