Feature,DoF,P Value,Chi Square,Is Significant
p1,1,0.036526,4.3724,0
p3,1,0.144328,2.131202,0
s8,1,0.162661,1.949313,0
b2,1,0.187641,1.736044,0
b3,1,0.187641,1.736044,0
b4,1,0.270001,1.216744,0
u1,1,0.291459,1.112871,0
b5,1,0.323978,0.972819,0
v1,1,0.338783,0.915033,0
a4,1,0.361728,0.831886,0
a6,1,0.361728,0.831886,0
a2,1,0.365203,0.819921,0
p9,1,0.374402,0.789001,0
v2,1,0.491196,0.473905,0
p7,1,0.580507,0.305415,0
d3,1,0.75623,0.09637,0
a7,1,0.795774,0.066988,0
p2,1,0.805479,0.060645,0
a3,1,0.805999,0.060315,0
