Feature,DoF,P Value,Chi Square,Is Significant
p6,1,0.113955,2.498498,0
s8,1,0.181616,1.784353,0
b4,1,0.192743,1.696526,0
p1,1,0.251948,1.312467,0
p8,1,0.265851,1.238032,0
a8,1,0.301816,1.066152,0
v1,1,0.314763,1.010582,0
d2,1,0.322344,0.979414,0
d1,1,0.36384,0.824596,0
b3,1,0.479947,0.498984,0
b2,1,0.479947,0.498984,0
u1,1,0.569024,0.324319,0
p7,1,0.591489,0.288025,0
a7,1,0.618641,0.247782,0
d3,1,0.662064,0.191026,0
a6,1,0.683152,0.1666,0
s5,1,0.765838,0.088698,0
b5,1,0.774016,0.082441,0
a3,1,0.872478,0.025764,0
d4,1,0.885072,0.020893,0
a4,1,0.896453,0.016937,0
p9,1,0.903292,0.014763,0
a2,1,0.909032,0.013055,0
p3,1,0.941529,0.00538,0
v2,1,0.948532,0.004167,0
p2,1,0.997584,9e-06,0
