Feature,DoF,P Value,Chi Square,Is Significant
p1,1,0.131411,2.275761,0
b2,1,0.189764,1.719447,0
b3,1,0.189764,1.719447,0
p9,1,0.253498,1.303922,0
b5,1,0.308225,1.038266,0
p3,1,0.330178,0.948201,0
a6,1,0.339916,0.910747,0
b4,1,0.423377,0.640923,0
p7,1,0.446794,0.578773,0
a4,1,0.45835,0.54992,0
u1,1,0.468863,0.524654,0
s8,1,0.476164,0.507637,0
v1,1,0.53088,0.392707,0
v2,1,0.588284,0.293032,0
a2,1,0.673839,0.177144,0
p2,1,0.735785,0.113866,0
a7,1,0.816193,0.054031,0
d3,1,0.901041,0.015462,0
a3,1,0.918567,0.010453,0
