Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.000223,13.625665,1
a8,1,0.003391,8.584127,1
s7,1,0.007754,7.089425,1
p5,1,0.011685,6.358,0
p7,1,0.028949,4.770662,0
p4,1,0.037777,4.315042,0
b2,1,0.049804,3.848049,0
b3,1,0.049804,3.848049,0
a1,1,0.05799,3.593956,0
p6,1,0.082579,3.013393,0
d1,1,0.083953,2.986667,0
d2,1,0.083953,2.986667,0
p3,1,0.102096,2.672498,0
s2,1,0.118343,2.439111,0
s3,1,0.122627,2.383448,0
n4,1,0.122627,2.383448,0
p8,1,0.157771,1.995465,0
a2,1,0.174175,1.846634,0
a4,1,0.191103,1.709091,0
s5,1,0.245278,1.35,0
u1,1,0.294865,1.097275,0
d5,1,0.344601,0.893239,0
r1,1,0.358326,0.84375,0
b4,1,0.440109,0.595998,0
b5,1,0.683463,0.166254,0
a7,1,0.97326,0.001124,0
a6,1,0.974001,0.001062,0
