Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.013193,6.143017,0
p6,1,0.014216,6.011141,0
p8,1,0.045244,4.009522,0
p9,1,0.083086,3.003469,0
v1,1,0.104985,2.628142,0
b4,1,0.166552,1.913703,0
p1,1,0.16659,1.913366,0
d1,1,0.213801,1.545501,0
d2,1,0.262296,1.256601,0
a8,1,0.288813,1.125145,0
b1,1,0.291605,1.112196,0
p3,1,0.422428,0.64355,0
b2,1,0.445321,0.582533,0
b3,1,0.445321,0.582533,0
u1,1,0.471676,0.518046,0
a3,1,0.525057,0.403948,0
p2,1,0.538901,0.37758,0
a7,1,0.5412,0.37332,0
b5,1,0.607514,0.26381,0
v2,1,0.683193,0.166554,0
a4,1,0.703159,0.145207,0
a2,1,0.730389,0.118754,0
a6,1,0.754437,0.09784,0
p7,1,0.760519,0.092903,0
d3,1,0.768765,0.086431,0
s5,1,0.780789,0.077446,0
d4,1,0.871021,0.026361,0
