Feature,DoF,P Value,Chi Square,Is Significant
a8,1,0.011771,6.344999,0
a1,1,0.020425,5.375223,0
b2,1,0.028727,4.783927,0
b3,1,0.028727,4.783927,0
s8,1,0.116966,2.457481,0
d2,1,0.135434,2.229085,0
s7,1,0.137131,2.209859,0
p5,1,0.195818,1.673291,0
a2,1,0.223784,1.479941,0
d1,1,0.253488,1.303975,0
s3,1,0.280529,1.164524,0
u1,1,0.388432,0.743844,0
p4,1,0.426365,0.632703,0
a4,1,0.466077,0.531261,0
b5,1,0.493155,0.469635,0
p12,1,0.5035,0.447551,0
s2,1,0.529689,0.394989,0
p7,1,0.600341,0.274483,0
b4,1,0.62399,0.2403,0
p6,1,0.707635,0.140651,0
p3,1,0.813398,0.055717,0
p8,1,0.841762,0.039856,0
r1,1,0.848372,0.036556,0
d5,1,0.852443,0.034597,0
a6,1,0.930393,0.00763,0
a7,1,0.949534,0.004006,0
n4,1,0.963988,0.002038,0
s5,1,1.0,0.0,0
