u1
b1
b2
b3
d4
d5
d2
d3
d1
s8
p4
s3
s2
s1
s7
s6
s5
r3
p10
p2
a1
p11
v2
a2
v4
a7
a6
a8
r1
r4
p3
p6
p7
r2
p5
p8
p9
a3
v1
v3
p12
a5
n4
n5
n6
