d1
b1
p7
p12
p8
p9
p3
p11
v4
b3
s8
r3
b2
s6
r4
n4
d3
n6
v1
p10
s2
v3
p6
d4
s3
r1
a3
p5
n5
p4
p2
d2
s5
r2
s7
d5
a7
v2
a5
