p9
r2
b1
b2
b3
d4
d5
d2
d3
d1
s8
s3
s2
s7
s6
s5
p2
p10
p11
a3
v3
v4
a7
p7
r4
p3
p6
r1
p4
p5
p8
r3
v2
v1
p12
a5
n4
n5
n6
