p9
b2
b3
d4
d5
d3
d1
s8
p4
s3
s2
s7
s6
s5
p2
a1
p11
a3
v3
v4
a7
a6
r1
r4
p3
p6
p7
r2
r3
p8
p5
v2
v1
a2
p12
a5
n4
n5
n6
