Feature,DoF,P Value,Chi Square,Is Significant
p6,1,0.037979,4.305979,0
s8,1,0.062711,3.46419,0
p8,1,0.128901,2.305689,0
p1,1,0.173414,1.853177,0
v1,1,0.186356,1.746196,0
a8,1,0.226316,1.463868,0
d2,1,0.241407,1.372359,0
b4,1,0.270489,1.214265,0
d3,1,0.367687,0.811466,0
d1,1,0.421928,0.644938,0
p3,1,0.422723,0.642734,0
a6,1,0.488616,0.479573,0
b5,1,0.564239,0.332418,0
b3,1,0.580716,0.305078,0
b2,1,0.580716,0.305078,0
a3,1,0.61985,0.246078,0
p2,1,0.630898,0.230846,0
a4,1,0.704417,0.143918,0
p9,1,0.71032,0.137957,0
u1,1,0.719186,0.129274,0
p7,1,0.847598,0.036935,0
d4,1,0.928542,0.008042,0
a2,1,0.960743,0.002423,0
a7,1,0.969108,0.0015,0
s5,1,0.975314,0.000958,0
v2,1,0.985622,0.000325,0
