Feature,DoF,P Value,Chi Square,Is Significant
v3,1,0.009949,6.643951,1
p2,1,0.025396,4.996713,0
b3,1,0.035496,4.421154,0
s8,1,0.035496,4.421154,0
b2,1,0.035496,4.421154,0
p7,1,0.059739,3.544615,0
p3,1,0.067113,3.352259,0
p4,1,0.111219,2.536813,0
s3,1,0.154229,2.029915,0
b1,1,0.215508,1.534035,0
a6,1,0.240575,1.377219,0
v1,1,0.247004,1.340171,0
a2,1,0.2524,1.309972,0
d3,1,0.372374,0.795726,0
s7,1,0.372374,0.795726,0
s2,1,0.372374,0.795726,0
p8,1,0.41923,0.652473,0
v2,1,0.550985,0.355556,0
s6,1,0.553516,0.351056,0
p1,1,0.553516,0.351056,0
a5,1,0.553516,0.351056,0
u1,1,0.635848,0.224213,0
a4,1,0.636982,0.222711,0
b5,1,0.829454,0.046398,0
p6,1,0.875975,0.024359,0
b4,1,0.875975,0.024359,0
a7,1,0.911008,0.012492,0
