Feature,DoF,P Value,Chi Square,Is Significant
s7,1,0.010046,6.626678,0
b2,1,0.019131,5.489521,0
b3,1,0.019131,5.489521,0
s8,1,0.019145,5.488203,0
a8,1,0.021874,5.255792,0
p5,1,0.022142,5.23457,0
a1,1,0.045722,3.991825,0
a2,1,0.054872,3.685957,0
s3,1,0.056537,3.636158,0
d2,1,0.056537,3.636158,0
p4,1,0.072345,3.228999,0
d1,1,0.072345,3.228999,0
u1,1,0.092536,2.829698,0
p12,1,0.096287,2.765999,0
s2,1,0.208374,1.582687,0
a4,1,0.208374,1.582687,0
p3,1,0.208374,1.582687,0
p7,1,0.219776,1.505834,0
d5,1,0.32203,0.980684,0
p8,1,0.325689,0.965963,0
a7,1,0.413124,0.669793,0
n4,1,0.428827,0.625999,0
a6,1,0.543215,0.369613,0
r1,1,0.559084,0.341292,0
p6,1,0.658036,0.195918,0
s5,1,0.664663,0.187908,0
b4,1,0.770241,0.085299,0
b5,1,0.87731,0.023833,0
