Feature,DoF,P Value,Chi Square,Is Significant
a8,1,0.007197,7.223151,1
b2,1,0.013101,6.155398,0
b3,1,0.013101,6.155398,0
a1,1,0.020047,5.407808,0
p5,1,0.097232,2.750373,0
s8,1,0.102441,2.667129,0
d2,1,0.137649,2.204046,0
a2,1,0.150809,2.064044,0
s7,1,0.154781,2.024487,0
d1,1,0.194038,1.686688,0
s3,1,0.246191,1.344792,0
u1,1,0.295015,1.096594,0
p4,1,0.340741,0.907642,0
p12,1,0.370304,0.802643,0
a4,1,0.394016,0.726512,0
p7,1,0.496198,0.463059,0
b5,1,0.511073,0.43187,0
s2,1,0.558402,0.342479,0
p8,1,0.594588,0.283236,0
b4,1,0.642615,0.215338,0
p6,1,0.6651,0.187387,0
p3,1,0.670091,0.181496,0
d5,1,0.804058,0.061553,0
r1,1,0.807365,0.059452,0
n4,1,0.82673,0.047916,0
s5,1,0.867886,0.02767,0
a6,1,0.895806,0.017151,0
a7,1,0.97448,0.001023,0
