Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.05191,3.77866,0
p6,1,0.053996,3.712819,0
p1,1,0.081533,3.034077,0
p8,1,0.095463,2.779757,0
b4,1,0.10816,2.580897,0
v1,1,0.162885,1.94724,0
b1,1,0.165234,1.925664,0
p9,1,0.201831,1.629074,0
d1,1,0.266393,1.235225,0
p3,1,0.316263,1.004338,0
d2,1,0.326192,0.963955,0
a8,1,0.372431,0.795536,0
b2,1,0.415466,0.663105,0
b3,1,0.415466,0.663105,0
a7,1,0.532746,0.389151,0
u1,1,0.539265,0.376905,0
a3,1,0.542086,0.371688,0
a2,1,0.583831,0.300082,0
b5,1,0.609464,0.260957,0
a6,1,0.694708,0.154036,0
a4,1,0.72341,0.125249,0
d3,1,0.752227,0.099669,0
p2,1,0.863291,0.029648,0
v2,1,0.909711,0.01286,0
s5,1,0.937201,0.006208,0
p7,1,0.955258,0.003148,0
d4,1,0.983038,0.000452,0
