b1,b3,b4,b5,p1,p2,p3,p4,p5,p6
2,1,2,0,2,1,1,2,4,2
2,3,1,0,3,1,1,1,3,1
2,2,2,0,4,1,2,1,4,4
1,2,2,0,2,1,1,2,3,2
1,1,2,0,3,1,3,3,3,3
1,3,2,0,1,3,2,2,3,1
2,1,1,0,2,1,2,1,2,1
1,2,1,0,3,1,4,3,3,3
2,1,1,0,4,1,3,1,3,3
2,2,1,0,3,1,1,3,3,3
