Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,29.416811,[372 183] ; [391 360],[324.24578867 230.75421133] ; [438.75421133 312.24578867],1
p9,1,7e-06,20.178819,[480  73] ; [707  45],[502.99693487  50.00306513] ; [684.00306513  67.99693487],1
p6,1,0.000145,14.437941,[267 283] ; [283 462],[233.59073359 316.40926641] ; [316.40926641 428.59073359],1
p8,1,0.004675,8.001018,[350 201] ; [415 330],[325.24305556 225.75694444] ; [439.75694444 305.24305556],0
p7,1,0.017942,5.601823,[401 149] ; [490 244],[381.6588785 168.3411215] ; [509.3411215 224.6588785],0
p2,1,0.050466,3.825907,[493  60] ; [641 109],[481.27551804  71.72448196] ; [652.72448196  97.27551804],0
p5,1,0.059594,3.548644,[ 92 459] ; [ 97 651],[ 80.16859122 470.83140878] ; [108.83140878 639.16859122],0
b1,1,0.159949,1.974706,[227 329] ; [279 475],[214.76030534 341.23969466] ; [291.23969466 462.76030534],0
p11,1,0.201155,1.633969,[451 105] ; [632 122],[459.65496183  96.34503817] ; [623.34503817 130.65496183],0
p1,1,0.374265,0.789456,[ 59 494] ; [ 69 682],[ 54.28220859 498.71779141] ; [ 73.71779141 677.28220859],0
p12,1,0.760391,0.093005,[ 53 502] ; [ 68 683],[ 51.42036753 503.57963247] ; [ 69.57963247 681.42036753],0
