Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,123.149893,[122 118] ; [632 107],[184.84167518  55.15832482] ; [569.15832482 169.84167518],1
p9,1,0.0,96.11625,[140  98] ; [648  91],[191.95905834  46.04094166] ; [596.04094166 142.95905834],1
r3,1,0.0,69.996713,[196  50] ; [717  28],[226.63773966  19.36226034] ; [686.36226034  58.63773966],1
p2,1,0.0,63.008974,[152  95] ; [632 110],[195.80182002  51.19817998] ; [588.19817998 153.80182002],1
n6,1,0.0,51.164585,[160  85] ; [640 104],[198.17997978  46.82002022] ; [601.82002022 142.17997978],1
p8,1,0.0,48.25869,[ 74 170] ; [411 323],[121.00204499 122.99795501] ; [363.99795501 370.00204499],1
r4,1,0.0,45.646794,[179  70] ; [672  79],[211.899  37.101] ; [639.101 111.899],1
v4,1,0.0,33.688741,[207  40] ; [707  36],[228.03838384  18.96161616] ; [685.96161616  57.03838384],1
p7,1,0.0,33.662356,[109 133] ; [479 246],[147.15201655  94.84798345] ; [440.84798345 284.15201655],1
n4,1,0.0,26.404685,[153  93] ; [589 160],[183.44924623  62.55075377] ; [558.55075377 190.44924623],1
n5,1,1e-06,24.277638,[149  97] ; [570 173],[178.84125379  67.15874621] ; [540.15874621 202.84125379],1
b1,1,1e-06,24.155729,[132 117] ; [266 485],[ 99.102 149.898] ; [298.898 452.102],1
p4,1,1e-06,24.056395,[105 140] ; [451 291],[138.0141844 106.9858156] ; [417.9858156 324.0141844],1
v2,1,9.1e-05,15.312581,[103 136] ; [414 304],[129.11494253 109.88505747] ; [387.88505747 330.11494253],1
p3,1,9.9e-05,15.165186,[ 89 157] ; [376 369],[115.42885974 130.57114026] ; [349.57114026 395.42885974],1
v1,1,0.000277,13.221361,[102 145] ; [397 329],[126.67317575 120.32682425] ; [372.32682425 353.67317575],1
s8,1,0.000622,11.708714,[ 79 168] ; [330 414],[101.94046418 145.05953582] ; [307.05953582 436.94046418],1
p12,1,0.000714,11.452516,[  6 240] ; [ 66 674],[ 17.96348884 228.03651116] ; [ 54.03651116 685.96348884],1
r1,1,0.000918,10.98533,[170  76] ; [593 154],[189.02114804  56.97885196] ; [573.97885196 173.02114804],1
a5,1,0.001336,10.29244,[156  93] ; [550 200],[175.96996997  73.03003003] ; [530.03003003 219.96996997],0
s1,1,0.001762,9.782201,[ 18 227] ; [ 21 717],[  9.72024415 235.27975585] ; [ 29.27975585 708.72024415],0
a6,1,0.003195,8.69258,[144 104] ; [511 237],[163.09236948  84.90763052] ; [491.90763052 256.09236948],0
p6,1,0.00619,7.494245,[ 66 176] ; [271 463],[ 83.55942623 158.44057377] ; [253.44057377 480.55942623],0
r2,1,0.006469,7.414922,[215  29] ; [692  48],[224.90650407  19.09349593] ; [682.09349593  57.90650407],0
p5,1,0.009186,6.786211,[ 16 229] ; [ 93 648],[ 27.0841785 217.9158215] ; [ 81.9158215 659.0841785],0
s6,1,0.009817,6.667872,[138 105] ; [483 249],[154.77230769  88.22769231] ; [466.22769231 265.77230769],0
u2,1,0.010984,6.467876,[38 50] ; [129  89],[48.02614379 39.97385621] ; [118.97385621  99.02614379],0
d4,1,0.021332,5.299437,[185  62] ; [610 137],[197.55030181  49.44969819] ; [597.44969819 149.55030181],0
v3,1,0.025521,4.988161,[ 75 162] ; [287 435],[ 89.46193952 147.53806048] ; [272.53806048 449.46193952],0
d1,1,0.036608,4.36854,[125 124] ; [434 317],[139.191 109.809] ; [419.809 331.191],0
n2,1,0.039376,4.244567,[64 36] ; [117  37],[71.25984252 28.74015748] ; [109.74015748  44.25984252],0
a3,1,0.059168,3.560548,[158  87] ; [531 218],[169.82394366  75.17605634] ; [519.17605634 229.82394366],0
s7,1,0.05956,3.549586,[ 93 134] ; [346 373],[105.34143763 121.65856237] ; [333.65856237 385.34143763],0
n3,1,0.061438,3.498133,[61 36] ; [114  40],[67.62948207 29.37051793] ; [107.37051793  46.62948207],0
s4,1,0.078342,3.098958,[ 51 197] ; [116 622],[ 42.0040568 205.9959432] ; [124.9959432 613.0040568],0
s3,1,0.080768,3.049371,[121 125] ; [407 325],[132.80981595 113.19018405] ; [395.19018405 336.80981595],0
u3,1,0.10479,2.63108,[43 46] ; [128  91],[49.41233766 39.58766234] ; [121.58766234  97.41233766],0
d5,1,0.110658,2.544804,[185  62] ; [597 152],[193.92971888  53.07028112] ; [588.07028112 160.92971888],0
a1,1,0.182015,1.781098,[ 17 232] ; [ 35 716],[ 12.948 236.052] ; [ 39.052 711.948],0
b4,1,0.198843,1.650854,[136 113] ; [445 306],[144.669 104.331] ; [436.331 314.669],0
a8,1,0.213869,1.545039,[ 24 201] ; [ 95 589],[ 29.45544554 195.54455446] ; [ 89.54455446 594.45544554],0
s5,1,0.215157,1.536384,[ 68 167] ; [240 481],[ 75.71129707 159.28870293] ; [232.28870293 488.71129707],0
d3,1,0.217226,1.522602,[156  90] ; [507 242],[163.91758794  82.08241206] ; [499.08241206 249.91758794],0
b3,1,0.232169,1.427522,[43 88] ; [183 292],[48.85478548 82.14521452] ; [177.14521452 297.85478548],0
b2,1,0.232169,1.427522,[43 88] ; [183 292],[48.85478548 82.14521452] ; [177.14521452 297.85478548],0
s2,1,0.241114,1.374071,[112 136] ; [366 374],[119.98380567 128.01619433] ; [358.01619433 381.98380567],0
a7,1,0.278109,1.176309,[166  81] ; [530 218],[172.7758794  74.2241206] ; [523.2241206 224.7758794],0
b5,1,0.289759,1.120742,[156  93] ; [442 309],[148.902 100.098] ; [449.098 301.902],0
n1,1,0.502642,0.449353,[40 58] ; [56 97],[37.48207171 60.51792829] ; [58.51792829 94.48207171],0
d2,1,0.511804,0.430377,[122 125] ; [351 396],[117.5362173 129.4637827] ; [355.4637827 391.5362173],0
u1,1,0.512305,0.429356,[ 38 211] ; [128 623],[ 41.334 207.666] ; [124.666 626.334],0
u4,1,0.607022,0.264535,[  4 245] ; [ 16 734],[  4.98498498 244.01501502] ; [ 15.01501502 734.98498498],0
a4,1,0.740127,0.110015,[105 142] ; [327 421],[107.24020101 139.75979899] ; [324.75979899 423.24020101],0
p1,1,0.952873,0.003493,[ 22 226] ; [ 65 678],[ 21.77194753 226.22805247] ; [ 65.22805247 677.77194753],0
a2,1,0.995922,2.6e-05,[ 55 194] ; [166 585],[ 55.029 193.971] ; [165.971 585.029],0
