Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,2.7e-05,17.583804,[28 80] ; [ 49 413],[14.58947368 93.41052632] ; [ 62.41052632 399.58947368],1
p1,1,3.9e-05,16.916502,[31 78] ; [ 58 404],[16.98949212 92.01050788] ; [ 72.01050788 389.98949212],1
p8,1,0.005697,7.643657,[85 23] ; [299 162],[72.8857645 35.1142355] ; [311.1142355 149.8857645],0
p6,1,0.018701,5.529268,[64 42] ; [218 239],[53.09413854 52.90586146] ; [228.90586146 228.09413854],0
p9,1,0.082656,3.01189,[101   7] ; [405  57],[95.87368421 12.12631579] ; [410.12631579  51.87368421],0
p10,1,0.11779,2.446464,[97 10] ; [391  70],[91.92957746 15.07042254] ; [396.07042254  64.92957746],0
p4,1,0.154037,2.031812,[92 15] ; [372  93],[86.7972028 20.2027972] ; [377.2027972  87.7972028],0
p11,1,0.278247,1.175632,[93 16] ; [376  89],[89.06097561 19.93902439] ; [379.93902439  85.06097561],0
p7,1,0.459915,0.546101,[84 22] ; [349 111],[81.09187279 24.90812721] ; [351.90812721 108.09187279],0
b1,1,0.960108,0.002502,[48 61] ; [206 259],[48.23344948 60.76655052] ; [205.76655052 259.23344948],0
p2,1,0.999111,1e-06,[94 14] ; [403  60],[94.00350263 13.99649737] ; [402.99649737  60.00350263],0
