Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,26.202842,[ 76 142] ; [140  98],[103.26315789 114.73684211] ; [112.73684211 125.26315789],1
s2,1,0.004764,7.96705,[ 72 150] ; [112 136],[ 86.9106383 135.0893617] ; [ 97.0893617 150.9106383],0
s5,1,0.012651,6.217271,[ 41 176] ; [ 68 167],[ 52.32964602 164.67035398] ; [ 56.67035398 178.32964602],0
s6,1,0.025059,5.019839,[103 119] ; [138 105],[115.05806452 106.94193548] ; [125.94193548 117.05806452],0
s7,1,0.026882,4.898373,[ 65 146] ; [ 93 134],[ 76.11415525 134.88584475] ; [ 81.88584475 145.11415525],0
s8,1,0.029501,4.738158,[ 51 171] ; [ 79 168],[ 61.53518124 160.46481876] ; [ 68.46481876 178.53518124],0
s4,1,0.107365,2.592582,[ 33 189] ; [ 51 197],[ 39.67659574 182.32340426] ; [ 44.32340426 203.67659574],0
a7,1,0.108841,2.570976,[134  89] ; [166  81],[142.34042553  80.65957447] ; [157.65957447  89.34042553],0
d5,1,0.137853,2.201765,[154  70] ; [185  62],[161.22292994  62.77707006] ; [177.77707006  69.22292994],0
d3,1,0.196675,1.666895,[129  95] ; [156  90],[135.82978723  88.17021277] ; [149.17021277  96.82978723],0
s3,1,0.230458,1.438033,[ 96 124] ; [121 125],[102.44635193 117.55364807] ; [114.55364807 131.44635193],0
n5,1,0.23565,1.40643,[123 100] ; [149  97],[129.33049041  93.66950959] ; [142.66950959 103.33049041],0
p3,1,0.259321,1.27238,[ 70 154] ; [ 89 157],[ 75.7787234 148.2212766] ; [ 83.2212766 162.7787234],0
a3,1,0.263141,1.252157,[132  90] ; [158  87],[137.85867238  84.14132762] ; [152.14132762  92.85867238],0
p4,1,0.279217,1.170896,[ 85 139] ; [105 140],[ 90.74626866 133.25373134] ; [ 99.25373134 145.74626866],0
v1,1,0.286417,1.136386,[ 81 141] ; [102 145],[ 86.62260128 135.37739872] ; [ 96.37739872 150.62260128],0
d1,1,0.28946,1.122132,[102 123] ; [125 124],[107.75316456 117.24683544] ; [119.24683544 129.75316456],0
b4,1,0.324187,0.971979,[133  92] ; [136 113],[127.68987342  97.31012658] ; [141.31012658 107.68987342],0
a5,1,0.324594,0.970346,[131  94] ; [156  93],[136.23417722  88.76582278] ; [150.76582278  98.23417722],0
p6,1,0.326177,0.964018,[ 51 168] ; [ 66 176],[ 55.5813449 163.4186551] ; [ 61.4186551 180.5813449],0
v3,1,0.328419,0.955122,[ 59 156] ; [ 75 162],[ 63.73893805 151.26106195] ; [ 70.26106195 166.73893805],0
p5,1,0.32867,0.95413,[ 10 214] ; [ 16 229],[ 12.41791045 211.58208955] ; [ 13.58208955 231.41791045],0
r2,1,0.334437,0.931642,[188  33] ; [215  29],[191.53333333  29.46666667] ; [211.46666667  32.53333333],0
a2,1,0.356492,0.850213,[ 42 183] ; [ 55 194],[ 46.0443038 178.9556962] ; [ 50.9556962 198.0443038],0
u4,1,0.422498,0.643356,[  6 219] ; [  4 245],[  4.74683544 220.25316456] ; [  5.25316456 243.74683544],0
b1,1,0.423628,0.640227,[111 114] ; [132 117],[115.34810127 109.65189873] ; [127.65189873 121.34810127],0
d4,1,0.48827,0.480336,[160  62] ; [185  62],[163.30490405  58.69509595] ; [181.69509595  65.30490405],0
p7,1,0.494281,0.467194,[ 93 129] ; [109 133],[ 96.64655172 125.35344828] ; [105.35344828 136.64655172],0
p1,1,0.499779,0.455406,[ 16 207] ; [ 22 226],[ 17.99150743 205.00849257] ; [ 20.00849257 227.99150743],0
r1,1,0.526228,0.401669,[148  75] ; [170  76],[151.20255864  71.79744136] ; [166.79744136  79.20255864],0
v4,1,0.52993,0.394526,[182  41] ; [207  40],[184.56808511  38.43191489] ; [204.43191489  42.56808511],0
p2,1,0.59022,0.290001,[133  92] ; [152  95],[135.85805085  89.14194915] ; [149.14194915  97.85805085],0
a8,1,0.59273,0.286101,[ 25 178] ; [ 24 201],[ 23.24065421 179.75934579] ; [ 25.75934579 199.24065421],0
v2,1,0.594514,0.28335,[ 89 130] ; [103 136],[ 91.80786026 127.19213974] ; [100.19213974 138.80786026],0
r3,1,0.595802,0.281373,[182  41] ; [196  50],[179.73134328  43.26865672] ; [198.26865672  47.73134328],0
p12,1,0.623986,0.240304,[  4 220] ; [  6 240],[  4.76595745 219.23404255] ; [  5.23404255 240.76595745],0
u1,1,0.647496,0.209071,[ 31 194] ; [ 38 211],[ 32.75316456 192.24683544] ; [ 36.24683544 212.75316456],0
n6,1,0.686086,0.163355,[141  81] ; [160  85],[143.08779443  78.91220557] ; [157.91220557  87.08779443],0
r4,1,0.769182,0.08611,[159  66] ; [179  70],[160.44303797  64.55696203] ; [177.55696203  71.44303797],0
a4,1,0.783132,0.075757,[ 92 131] ; [105 142],[ 93.47021277 129.52978723] ; [103.52978723 143.47021277],0
d2,1,0.796104,0.066767,[107 115] ; [122 125],[108.39658849 113.60341151] ; [120.60341151 126.39658849],0
s1,1,0.803714,0.061774,[ 15 207] ; [ 18 227],[ 15.68736617 206.31263383] ; [ 17.31263383 227.68736617],0
n4,1,0.817214,0.053421,[141  82] ; [153  93],[139.79104478  83.20895522] ; [154.20895522  91.79104478],0
p8,1,0.829378,0.04644,[ 65 156] ; [ 74 170],[ 66.06236559 154.93763441] ; [ 72.93763441 171.06236559],0
n2,1,0.845238,0.038102,[57 34] ; [64 36],[57.64921466 33.35078534] ; [63.35078534 36.64921466],0
a1,1,0.903507,0.014697,[ 16 209] ; [ 17 232],[ 15.66455696 209.33544304] ; [ 17.33544304 231.66455696],0
n1,1,0.909288,0.012981,[36 54] ; [40 58],[36.38297872 53.61702128] ; [39.61702128 58.38297872],0
a6,1,0.916849,0.0109,[129  95] ; [144 104],[129.55932203  94.44067797] ; [143.44067797 104.55932203],0
b2,1,0.973874,0.001073,[47 97] ; [43 88],[47.12727273 96.87272727] ; [42.87272727 88.12727273],0
b3,1,0.973874,0.001073,[47 97] ; [43 88],[47.12727273 96.87272727] ; [42.87272727 88.12727273],0
