Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.479861,[31 78] ; [ 59 494],[14.81873112 94.18126888] ; [ 75.18126888 477.81873112],1
p12,1,2e-06,22.607778,[28 80] ; [ 53 502],[13.19457014 94.80542986] ; [ 67.80542986 487.19457014],1
p8,1,0.00232,9.27746,[85 23] ; [350 201],[71.28983308 36.71016692] ; [363.71016692 187.28983308],0
p6,1,0.025686,4.977031,[64 42] ; [267 283],[53.4847561 52.5152439] ; [277.5152439 272.4847561],0
p3,1,0.044086,4.053267,[83 25] ; [372 183],[74.11764706 33.88235294] ; [380.88235294 174.11764706],0
p9,1,0.050204,3.834642,[101   7] ; [480  73],[94.92889561 13.07110439] ; [486.07110439  66.92889561],0
p10,1,0.101497,2.681865,[97 10] ; [466  85],[91.55167173 15.44832827] ; [471.44832827  79.55167173],0
p7,1,0.173625,1.851361,[84 22] ; [401 149],[78.36890244 27.63109756] ; [406.63109756 143.36890244],0
p11,1,0.298001,1.083118,[93 16] ; [451 105],[89.16691729 19.83308271] ; [454.83308271 101.16691729],0
p2,1,0.524114,0.40579,[94 14] ; [493  60],[95.90922844 12.09077156] ; [491.09077156  61.90922844],0
b1,1,0.533856,0.387046,[48 61] ; [227 329],[45.07518797 63.92481203] ; [229.92481203 326.07518797],0
