Feature,DoF,P Value,Chi Square,Is Significant
p10,1,0.0,75.196212,1
p9,1,0.0,71.541125,1
r3,1,0.0,45.932766,1
p2,1,0.0,42.101012,1
n6,1,0.0,41.715416,1
r4,1,0.0,33.931626,1
p8,1,0.0,29.139434,1
v4,1,2e-06,22.954259,1
p7,1,0.000133,14.604714,1
v2,1,0.000201,13.820548,1
p4,1,0.00088,11.064984,1
n4,1,0.000883,11.057207,1
r2,1,0.001084,10.678119,0
n5,1,0.00145,10.141024,0
a6,1,0.001622,9.935162,0
p12,1,0.002453,9.175273,0
v1,1,0.004906,7.913907,0
r1,1,0.005096,7.84517,0
s1,1,0.01819,5.577749,0
a1,1,0.022543,5.203406,0
s8,1,0.026231,4.940727,0
s6,1,0.029837,4.718635,0
a7,1,0.032059,4.595331,0
a5,1,0.040034,4.216457,0
d3,1,0.049488,3.858718,0
v3,1,0.04957,3.855951,0
d4,1,0.054978,3.682766,0
p3,1,0.055767,3.658995,0
d1,1,0.057804,3.599298,0
n2,1,0.065327,3.396709,0
n1,1,0.07934,3.078379,0
p5,1,0.088095,2.908849,0
d5,1,0.097994,2.737894,0
p6,1,0.131743,2.27185,0
u2,1,0.144197,2.132589,0
b2,1,0.226931,1.459993,0
b3,1,0.226931,1.459993,0
d2,1,0.242317,1.367062,0
b4,1,0.242395,1.36661,0
n3,1,0.24485,1.352451,0
s7,1,0.245814,1.346938,0
s3,1,0.275796,1.187691,0
s4,1,0.296933,1.087919,0
s5,1,0.310539,1.028382,0
a8,1,0.334378,0.931866,0
a3,1,0.373383,0.792374,0
s2,1,0.495723,0.46408,0
u1,1,0.509331,0.435441,0
a4,1,0.601641,0.272528,0
u3,1,0.672019,0.17925,0
b5,1,0.745375,0.105458,0
a2,1,0.748141,0.1031,0
u4,1,0.754749,0.097584,0
p1,1,0.877088,0.02392,0
