Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.12723,[707  45] ; [669 104],[678.52590164  73.47409836] ; [697.47409836  75.52590164],1
p11,1,0.100315,2.700523,[632 122] ; [632 152],[619.67230169 134.32769831] ; [644.32769831 139.67230169],0
p12,1,0.297416,1.085745,[ 68 683] ; [ 59 719],[ 62.37867888 688.62132112] ; [ 64.62132112 713.37867888],0
p7,1,0.566047,0.329341,[490 244] ; [522 244],[495.20533333 238.79466667] ; [516.79466667 249.20533333],0
p5,1,0.57516,0.314125,[ 97 651] ; [ 94 688],[ 93.37777778 654.62222222] ; [ 97.62222222 684.37777778],0
p4,1,0.688687,0.16051,[466 284] ; [493 288],[469.79098628 280.20901372] ; [489.20901372 291.79098628],0
p8,1,0.718635,0.129804,[415 330] ; [436 334],[418.47854785 326.52145215] ; [432.52145215 337.47854785],0
p1,1,0.741557,0.108763,[ 69 682] ; [ 68 713],[ 67.15861619 683.84138381] ; [ 69.84138381 711.15861619],0
p6,1,0.750575,0.101048,[283 462] ; [299 472],[286.00923483 458.99076517] ; [295.99076517 475.00923483],0
p3,1,0.815596,0.054389,[391 360] ; [403 380],[388.71838331 362.28161669] ; [405.28161669 377.71838331],0
b1,1,0.921695,0.009663,[279 475] ; [292 492],[279.93107932 474.06892068] ; [291.06892068 492.93107932],0
