Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,27.529124,[122 118] ; [279 111],[152.76190476  87.23809524] ; [248.23809524 141.76190476],1
p8,1,1.3e-05,18.944957,[ 74 170] ; [186 203],[100.22116904 143.77883096] ; [159.77883096 229.22116904],1
p7,1,1.5e-05,18.698663,[109 133] ; [243 145],[135.21269841 106.78730159] ; [216.78730159 171.21269841],1
p3,1,6.2e-05,16.05228,[ 89 157] ; [206 187],[113.56807512 132.43192488] ; [181.43192488 211.56807512],1
n4,1,0.000211,13.730123,[153  93] ; [302  96],[173.80434783  72.19565217] ; [281.19565217 116.80434783],1
p9,1,0.00025,13.411726,[140  98] ; [283 105],[160.82108626  77.17891374] ; [262.17891374 125.82108626],1
p4,1,0.000283,13.179138,[105 140] ; [227 167],[127.29264476 117.70735524] ; [204.70735524 189.29264476],1
n5,1,0.00033,12.891075,[149  97] ; [294 103],[169.4836703  76.5163297] ; [273.5163297 123.4836703],1
p2,1,0.000536,11.986581,[152  95] ; [292 100],[171.62441315  75.37558685] ; [272.37558685 119.62441315],1
r3,1,0.003959,8.302568,[196  50] ; [347  47],[208.715625  37.284375] ; [334.284375  59.715625],0
s8,1,0.005345,7.758817,[ 79 168] ; [169 224],[ 95.7125 151.2875] ; [152.2875 240.7125],0
p6,1,0.008419,6.942093,[ 66 176] ; [145 242],[ 81.17965024 160.82034976] ; [129.82034976 257.17965024],0
r4,1,0.012114,6.294173,[179  70] ; [320  78],[192.04173107  56.95826893] ; [306.95826893  91.04173107],0
n6,1,0.012742,6.204619,[160  85] ; [295 101],[173.90795632  71.09204368] ; [281.09204368 114.90795632],0
a5,1,0.0143,6.000766,[156  93] ; [286 112],[170.10510046  78.89489954] ; [271.89489954 126.10510046],0
p5,1,0.019599,5.447295,[ 16 229] ; [ 48 344],[ 24.61538462 220.38461538] ; [ 39.38461538 352.61538462],0
v1,1,0.02734,4.869194,[102 145] ; [195 193],[115.52598425 131.47401575] ; [181.47401575 206.52598425],0
v4,1,0.031831,4.607563,[207  40] ; [353  41],[215.78783151  31.21216849] ; [344.21216849  49.78783151],0
p12,1,0.031899,4.603938,[  6 240] ; [ 24 367],[ 11.5855573 234.4144427] ; [ 18.4144427 372.5855573],0
u3,1,0.032106,4.592846,[43 46] ; [71 41],[50.47761194 38.52238806] ; [63.52238806 48.47761194],0
u2,1,0.035854,4.404044,[38 50] ; [64 46],[45.33333333 42.66666667] ; [56.66666667 53.33333333],0
a3,1,0.052078,3.773254,[158  87] ; [285 112],[169.0576324  75.9423676] ; [273.9423676 123.0576324],0
s7,1,0.101655,2.679392,[ 93 134] ; [177 193],[102.66331658 124.33668342] ; [167.33668342 202.66331658],0
r1,1,0.119248,2.427167,[170  76] ; [296 100],[178.56074766  67.43925234] ; [287.43925234 108.56074766],0
s1,1,0.140739,2.169859,[ 18 227] ; [ 18 375],[ 13.82445141 231.17554859] ; [ 22.17554859 370.82445141],0
s4,1,0.147813,2.094676,[ 51 197] ; [ 63 329],[ 44.175 203.825] ; [ 69.825 322.175],0
