Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,83.804354,[ 76 142] ; [283 105],[129.14521452  88.85478548] ; [229.85478548 158.14521452],1
p3,1,0.0,25.857904,[ 70 154] ; [206 187],[100.20097245 123.79902755] ; [175.79902755 217.20097245],1
s8,1,1e-06,24.771037,[ 51 171] ; [169 224],[ 79.41463415 142.58536585] ; [140.58536585 252.41463415],1
p7,1,1e-06,24.542312,[ 93 129] ; [243 145],[122.28196721  99.71803279] ; [213.71803279 174.28196721],1
n5,1,1e-06,23.158372,[123 100] ; [294 103],[149.98548387  73.01451613] ; [267.01451613 129.98548387],1
p11,1,2e-06,22.23599,[107 118] ; [266 132],[134.71107544  90.28892456] ; [238.28892456 159.71107544],1
p4,1,3e-06,22.098744,[ 85 139] ; [227 167],[113.08737864 110.91262136] ; [198.91262136 195.08737864],1
p8,1,9e-06,19.710047,[ 65 156] ; [186 203],[ 90.93606557 130.06393443] ; [160.06393443 228.93606557],1
s2,1,4.7e-05,16.569184,[ 72 150] ; [194 199],[ 96.0195122 125.9804878] ; [169.9804878 223.0195122],1
s7,1,6.2e-05,16.039256,[ 65 146] ; [177 193],[ 87.88640275 123.11359725] ; [154.11359725 215.88640275],1
p2,1,7.1e-05,15.772553,[133  92] ; [292 100],[154.98379254  70.01620746] ; [270.01620746 121.98379254],1
s6,1,0.000195,13.881804,[103 119] ; [238 146],[124.92079208  97.07920792] ; [216.07920792 167.92079208],1
p6,1,0.000337,12.851151,[ 51 168] ; [145 242],[ 70.83168317 148.16831683] ; [125.16831683 261.83168317],1
a5,1,0.00051,12.077937,[131  94] ; [286 112],[150.60192616  74.39807384] ; [266.39807384 131.60192616],1
s5,1,0.00073,11.410206,[ 41 176] ; [120 259],[ 58.61912752 158.38087248] ; [102.38087248 276.61912752],1
n4,1,0.000824,11.186256,[141  82] ; [302  96],[159.0805153  63.9194847] ; [283.9194847 114.0805153],1
v1,1,0.00101,10.809496,[ 81 141] ; [195 193],[100.44590164 121.55409836] ; [175.55409836 212.44590164],0
p5,1,0.001469,10.117662,[ 10 214] ; [ 48 344],[ 21.09090909 202.90909091] ; [ 36.90909091 355.09090909],0
a3,1,0.001703,9.844624,[132  90] ; [285 112],[149.55411955  72.44588045] ; [267.44588045 129.55411955],0
n6,1,0.004061,8.25652,[141  81] ; [295 101],[156.62135922  65.37864078] ; [279.37864078 116.62135922],0
v4,1,0.005031,7.868218,[182  41] ; [353  41],[193.363047  29.636953] ; [341.636953  52.363047],0
r4,1,0.005628,7.665812,[159  66] ; [320  78],[172.99357945  52.00642055] ; [306.00642055  91.99357945],0
s3,1,0.007059,7.257978,[ 96 124] ; [215 176],[111.98036007 108.01963993] ; [199.01963993 191.98036007],0
p12,1,0.012717,6.208118,[  4 220] ; [ 24 367],[ 10.19837398 213.80162602] ; [ 17.80162602 373.19837398],0
r1,1,0.026241,4.940069,[148  75] ; [296 100],[159.95476575  63.04523425] ; [284.04523425 111.95476575],0
r3,1,0.027569,4.8548,[182  41] ; [347  47],[191.19448947  31.80551053] ; [337.80551053  56.19448947],0
u3,1,0.030924,4.657178,[45 48] ; [71 41],[52.62439024 40.37560976] ; [63.37560976 48.62439024],0
v3,1,0.033755,4.507092,[ 59 156] ; [138 246],[ 70.70951586 144.29048414] ; [126.29048414 257.70951586],0
u2,1,0.03659,4.369387,[39 51] ; [64 46],[46.35 43.65] ; [56.65 53.35],0
d1,1,0.043083,4.092144,[102 123] ; [214 184],[114.12520064 110.87479936] ; [201.87479936 196.12520064],0
d5,1,0.043483,4.076507,[154  70] ; [301  94],[164.65266559  59.34733441] ; [290.34733441 104.65266559],0
v2,1,0.0494,3.861714,[ 89 130] ; [186 194],[100.54257095 118.45742905] ; [174.45742905 205.54257095],0
d4,1,0.061663,3.492082,[160  62] ; [311  84],[169.46839546  52.53160454] ; [301.53160454  93.46839546],0
a4,1,0.120527,2.410461,[ 92 131] ; [189 207],[101.23263328 121.76736672] ; [179.76736672 216.23263328],0
n1,1,0.146,2.113555,[36 54] ; [51 50],[40.9947644 49.0052356] ; [46.0052356 54.9947644],0
a2,1,0.150703,2.065123,[ 42 183] ; [ 94 304],[ 49.11717496 175.88282504] ; [ 86.88282504 311.11717496],0
b5,1,0.189302,1.723042,[141  84] ; [228 170],[133.26645265  91.73354735] ; [235.73354735 162.26645265],0
r2,1,0.213686,1.546279,[188  33] ; [348  45],[192.92508143  28.07491857] ; [343.07491857  49.92508143],0
s1,1,0.249955,1.323557,[ 15 207] ; [ 18 375],[ 11.91219512 210.08780488] ; [ 21.08780488 371.91219512],0
n3,1,0.352732,0.863606,[56 33] ; [70 31],[59.02105263 29.97894737] ; [66.97894737 34.02105263],0
